Liste aller jemals vergebenen ersten Mädchennamen 1984-2020,,,,,
,,,,,
Vorname,,Anzahl,Rang,Anzahl,Rang
Aisha-Naomi,Aisha-Naomi,1,11.285,-,-
Aishat,Aishat,3,6.297,-,-
Aishe,Ayşe,8,3.604,-,-
Aishveen,Aishveen,1,11.285,-,-
Aishvi,Aishvi,1,11.285,-,-
Aishwarya,Aishwarya,2,7.847,-,-
Aisling,Aisling,3,6.297,-,-
Aislinn,Aislinn,3,6.297,-,-
Aisosa,Aisosa,4,5.342,-,-
Aissa,Aissa,1,11.285,1,1.853
Aissata,Aissata,2,7.847,-,-
Aissato,Aissato,1,11.285,-,-
Aissatou,Aissatou,3,6.297,-,-
Aïssatou,Aissatou,3,6.297,-,-
Aisuluu,Aisuluu,1,11.285,-,-
Aisza,Aisza,1,11.285,-,-
Aitana,Aitana,5,4.717,-,-
Aiva,Aiva,1,11.285,-,-
Aivee,Aivee,1,11.285,-,-
Aivy,Aivy,1,11.285,-,-
Aixzan,Aixzan,1,11.285,-,-
Aiya,Aiya,1,11.285,-,-
Aiyana,Aiyana,21,2.073,-,-
Aiyssa,Aiyssa,1,11.285,-,-
Aiyun,Aiyun,1,11.285,-,-
Aiza,Aiza,14,2.668,2,1.301
Aizah,Aizah,2,7.847,-,-
Aizelin,Aizelin,1,11.285,-,-
Aizeyosabor,Aizeyosabor,1,11.285,-,-
Aja,Aja,6,4.246,-,-
Ajaat,Ajaat,2,7.847,-,-
Ajana,Ajana,55,1.193,2,1.301
Ajda,Ajda,12,2.905,1,1.853
Ajdina,Ajdina,7,3.894,-,-
Ajeneta,Ajeneta,1,11.285,-,-
Ajescha,Ajescha,1,11.285,-,-
Ajeta,Ajeta,4,5.342,-,-
Ajete,Ajete,1,11.285,-,-
