Vornamen Neugeborene Wien nach Geschlecht und Aussprache seit 2010 / First names of newborns in Vienna since 2010, aggregation by sex and pronunciation
"NUTS";"DISTRICT_CODE";"SUB_DISTRICT_CODE";"REF_YEAR";"REF_DATE";"SEX";"RANK";"NAME";"NAME_ALL";"N";"PERC_SEX"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Linus";"Linus";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Nils";"Nils";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"104";"Robin";"Robin";"17";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Aaron";"Aaron";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Arian";"Arian";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Christopher";"Christopher";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Ferdinand";"Ferdinand";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Hamza";"Hamza";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Jakub";"Jakub";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Josef";"Josef";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Julius";"Julius";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Leopold";"Leopold";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Mark";"Mark";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Umut";"Umut";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"114";"Yasin";"Yasin";"16";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"126";"Dario";"Dario";"15";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"126";"Emir";"Emir";"15";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"128";"Alessandro";"Alessandro";"14";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"128";"Batuhan";"Batuhan";"14";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"128";"Colin";"Colin";"14";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"128";"Nemanja";"Nemanja";"14";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"128";"Petar";"Petar";"14";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"128";"Tristan";"Tristan";"14";"0,2"
"AT13";"90000";"90000";"2010";"2010";"1";"134";"Andrija";"Andrija";"13";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"134";"Hüseyin";"Hüseyin";"13";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"134";"Kerem";"Kerem";"13";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"134";"Marvin";"Marvin";"13";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"134";"Xaver";"Xaver";"13";"0,1"
"AT13";"90000";"90000";"2010";"2010";"1";"139";"Alex";"Alex";"12";"0,1"
