Contents,,,,
,,,,
"Table 6: Top names for baby boys1,2, 2017",,,,
England and Wales
Source: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsboys
License: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
,,,,
,,,,
Rank,Name,Count3,,
888,SEBASTIEN ,35,,
888,TOMMIE ,35,,
888,YASIR ,35,,
888,ZAYNE ,35,,
906,ABDIRAHMAN ,34,,
906,ALBERTO ,34,,
906,AMEER ,34,,
906,ARMAN ,34,,
906,BJORN ,34,,
906,BORIS ,34,,
906,CHARLEY ,34,,
906,DENZEL ,34,,
906,EBEN ,34,,
906,HAROLD ,34,,
906,KRYSTIAN ,34,,
906,KRZYSZTOF ,34,,
906,LYLE ,34,,
906,MARC ,34,,
906,OSMAN ,34,,
906,RAYHAN ,34,,
906,RENZO ,34,,
906,RIAAN ,34,,
906,RISHI ,34,,
906,ROCKY ,34,,
906,RYKER ,34,,
906,TARAN ,34,,
906,THEON ,34,,
906,ZAYDAN ,34,,
906,ZAYDEN ,34,,
931,AXL ,33,,
931,DAWOOD ,33,,
931,EMRYS ,33,,
931,FATEH ,33,,
931,HAYDN ,33,,
931,KAISON ,33,,
931,KOHEN ,33,,
931,LEVISON ,33,,
931,NELSON ,33,,
931,RUARI ,33,,
931,SOL ,33,,
931,VIAAN ,33,,
943,AARUSH ,32,,
943,ADEN ,32,,
943,AYAZ ,32,,
943,AYRTON ,32,,
943,CARL ,32,,
943,ELWOOD ,32,,
943,EOIN ,32,,
943,FORREST ,32,,
943,HARUN ,32,,
943,HUW ,32,,
943,IEUAN ,32,,
943,IOSIF ,32,,
943,KAROL ,32,,
943,KAYA ,32,,
943,MACKENZIE ,32,,
943,MARKUS ,32,,
943,MILOSZ ,32,,
943,MOSHE ,32,,
943,PABLO ,32,,
943,RAFI ,32,,
943,SAFWAN ,32,,
943,TADHG ,32,,
943,TYRESE ,32,,
943,YOUSAF ,32,,
943,ZEPHYR ,32,,
968,ARLIE ,31,,
968,ARYAAN ,31,,
968,BERNARD ,31,,
968,BOGDAN ,31,,
968,BRYN ,31,,
968,ENOCH ,31,,
968,ESSA ,31,,
968,FREDERIC ,31,,
968,GEORGI ,31,,
968,GRAY ,31,,
968,GRIFFIN ,31,,
968,IESTYN ,31,,
968,IVO ,31,,
968,JOSE ,31,,
968,KARL ,31,,
968,KAYLAN ,31,,
968,KELVIN ,31,,
968,KEYAN ,31,,
968,KUBA ,31,,
968,LELAND ,31,,
968,LEWIE ,31,,
968,MANUEL ,31,,
968,MURPHY ,31,,
968,NANA ,31,,
968,PHILLIP ,31,,
968,QUENTIN ,31,,
968,SHAH ,31,,
968,YUVAAN ,31,,
996,AHYAN ,30,,
996,AKRAM ,30,,
996,ALEJANDRO ,30,,
996,AMAN ,30,,
996,AYOUB ,30,,
996,BRYSON ,30,,
996,COHAN ,30,,
996,EKAM ,30,,
996,ELIOT ,30,,
996,ETIENNE ,30,,
996,GIORGIO ,30,,
996,IZAAN ,30,,
996,JOAO ,30,,
996,KARAM ,30,,
996,KEELAN ,30,,
996,KOA ,30,,
996,KURTIS ,30,,
996,MATHEW ,30,,
996,MOHAMAD ,30,,
996,RAIDEN ,30,,
996,RODRIGO ,30,,
996,RYLEY ,30,,
996,STEFFAN ,30,,
996,YANNIS ,30,,
996,YUSHA ,30,,
1021,ABDUR ,29,,
1021,ABDUR-RAHMAN ,29,,
1021,BODIE ,29,,
1021,CAMDEN ,29,,
1021,COSMO ,29,,
1021,DARIO ,29,,
1021,ELISHA ,29,,
1021,ELYAS ,29,,
1021,ESHAN ,29,,
1021,KAILEN ,29,,
1021,KASON ,29,,
1021,KENNETH ,29,,
