319,ELOISA,8134,61
320,EDURNE,8133,"29,1"
321,CANDELARIA,8092,"63,7"
322,AZUCENA,8074,"48,9"
323,ADELAIDA,8052,"62,5"
324,"MARIA AURORA",8018,"58,9"
325,TOMASA,8013,"73,4"
326,ESTIBALIZ,7953,"37,4"
327,HORTENSIA,7928,"70,7"
328,BENITA,7876,"72,2"
329,"MARIA AUXILIADORA",7838,"51,3"
330,"MARIA BLANCA",7745,"61,1"
331,"LUISA MARIA",7723,"49,3"
332,NAIA,7631,"10,4"
333,MONSERRAT,7625,"50,2"
334,FILOMENA,7610,"72,1"
335,"MARIA PINO",7605,"59,3"
336,YANIRA,7568,"16,2"
337,"ROSA ANA",7561,"47,5"
338,"MARIA PALOMA",7546,"56,2"
339,NAHIA,7541,"10,7"
340,MICAELA,7534,"55,8"
341,MARIONA,7502,"19,7"
342,"MARTA MARIA",7460,"44,3"
343,"INMACULADA CONCEPCION",7398,"44,6"
344,ONA,7358,"9,4"
345,FERNANDA,7350,"62,8"
346,"MARIA LUCIA",7331,"51,2"
347,DELIA,7274,"46,8"
348,"MARIA GUADALUPE",7231,"54,4"
349,FABIOLA,7226,"39,5"
350,AINOA,7216,"21,7"
351,FLORA,7187,"67,9"
352,"LAURA MARIA",7163,"34,5"
353,AMINA,7162,"30,5"
354,"MARIA VALLE",7148,"52,6"
355,"MARIA GEMA",7138,"48,5"
356,JESICA,7136,"33,4"
357,CORAL,7115,"24,6"
358,ARANTXA,7082,"29,2"
359,REGINA,7059,57
360,AZAHARA,7056,"19,7"
361,MARISOL,7018,"50,1"
362,MARCELINA,7016,"72,8"
363,"MARIA ALEJANDRA",6938,"36,4"
364,FUENSANTA,6925,"60,1"
365,INGRID,6875,"29,4"
366,"MARIA ESTRELLA",6843,"58,4"
367,MIREYA,6841,"25,2"
368,"LUZ MARIA",6804,"44,2"
369,"MARIA SOCORRO",6796,"66,5"
370,LIA,6785,"9,8"
371,"MARIA SONIA",6784,"48,6"
372,"MARIA DESAMPARADOS",6782,"59,3"
373,CAYETANA,6769,"16,6"
374,VISITACION,6764,"71,3"
375,ANGELICA,6715,"43,7"
376,MALIKA,6653,"49,1"
377,PAULINA,6635,"61,2"
378,"INES MARIA",6632,"46,8"
379,MALAK,6620,"8,1"
380,"MARIA ELISA",6587,"57,4"
381,FATIHA,6563,"43,2"
382,NAGORE,6523,"25,4"
383,LILIANA,6463,"43,2"
384,"MARIA OLGA",6424,"59,7"
385,LINA,6377,"24,8"
386,IDOIA,6327,"40,6"
387,JUNE,6284,"13,6"
388,FLORENCIA,6233,"65,4"
389,MAIDER,6225,"27,5"
390,IRATXE,6215,32
391,"MARIA ANGELS",6187,"58,4"
392,VIRTUDES,6168,"68,1"
393,YASMIN,6167,"12,7"
394,AVELINA,6114,72
395,SALVADORA,6095,"67,5"
