"Baby boys' first names, Slovenia, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST NAME,Number 1992,Number 1993,Number 1994,Number 1995,Number 1996,Number 1997,Number 1998,Number 1999,Number 2000,Number 2001,Number 2002,Number 2003,Number 2004,Number 2005,Number 2006,Number 2007,Number 2008,Number 2009,Number 2010,Number 2011,Number 2012,Number 2013,Number 2014,Number 2015,Number 2016,Number 2017,Number 2018,Number 2019,Rank 1992,Rank 1993,Rank 1994,Rank 1995,Rank 1996,Rank 1997,Rank 1998,Rank 1999,Rank 2000,Rank 2001,Rank 2002,Rank 2003,Rank 2004,Rank 2005,Rank 2006,Rank 2007,Rank 2008,Rank 2009,Rank 2010,Rank 2011,Rank 2012,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019
Albert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,-,-,-,198,-,-
Aldin,-,-,-,-,-,-,-,-,7,5,-,11,-,9,-,7,5,8,-,6,-,5,9,11,9,8,-,7,-,-,-,-,-,-,-,-,140,167,-,109,-,142,-,172,213,174,-,208,-,226,177,145,163,179,-,190
Aleks,22,25,22,21,30,26,29,25,47,54,46,39,51,56,46,56,62,68,81,80,82,101,73,72,86,85,74,67,83,76,76,78,65,69,62,71,52,47,52,54,48,43,51,46,45,43,34,35,34,25,35,33,30,28,32,36
Aleksa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,-,-,6,-,8,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,208,-,-,-,213,-,179,190,178
Aleksandar,16,20,16,12,12,12,8,19,15,11,13,6,7,8,9,12,9,15,17,11,14,17,23,13,14,9,17,16,92,80,87,102,105,101,121,84,92,110,100,165,145,147,152,130,154,122,118,150,133,116,98,136,133,167,117,128
Aleksander,60,51,55,49,40,40,29,39,43,42,26,29,39,49,37,29,50,36,51,32,44,48,47,52,39,45,43,30,44,50,44,49,59,54,62,53,54,54,72,64,53,47,59,77,55,71,57,76,67,57,59,50,63,59,61,77
Aleksej,-,-,-,6,-,-,-,-,-,5,5,8,8,13,14,18,21,27,43,40,44,41,45,57,38,60,42,45,-,-,-,148,-,-,-,-,-,167,183,139,135,116,114,105,105,84,64,65,67,67,61,45,64,39,63,51
Alem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,194,-,-,-,177,-,-,-
Alen,145,112,118,96,100,118,95,110,108,129,115,97,83,66,77,72,53,55,53,55,35,35,49,31,22,37,22,19,22,31,29,31,31,23,28,22,27,20,21,23,30,41,33,40,52,54,53,52,73,75,53,76,102,72,100,112
Ale�,145,114,111,100,84,76,54,38,46,40,25,24,22,17,12,13,10,15,10,9,15,7,10,-,7,-,-,-,22,30,32,29,36,38,48,54,53,56,74,71,78,94,124,122,145,122,160,172,127,185,166,-,192,-,-,-
Alex,7,7,6,21,21,11,13,18,21,26,20,28,28,38,43,46,50,46,41,46,48,43,49,36,40,34,40,30,144,134,146,78,79,109,95,87,77,70,81,67,68,56,55,53,55,60,66,57,62,61,53,70,61,75,65,77
Alexander,-,8,-,-,-,-,-,5,-,-,-,-,-,-,-,-,10,6,5,5,5,7,13,5,5,13,-,6,-,123,-,-,-,-,-,159,-,-,-,-,-,-,-,-,145,203,220,223,231,185,145,233,231,136,-,209
Ali,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,9,12,9,7,14,10,16,15,12,7,13,12,16,-,-,-,-,-,-,-,-,-,-,-,-,161,-,-,145,131,165,192,133,162,126,133,140,192,136,140,128
Alja�,143,142,175,158,173,170,210,191,211,187,206,183,209,181,171,186,182,207,158,151,167,144,108,100,103,73,85,85,24,23,16,16,14,13,8,10,8,9,6,7,6,8,8,9,10,8,16,16,14,16,21,25,22,33,27,24
Aljo�a,44,35,41,29,30,33,27,26,27,25,31,22,20,25,22,11,13,14,18,13,17,17,16,12,8,6,13,9,55,62,54,64,65,59,66,69,73,76,62,77,84,73,88,134,127,131,115,136,124,116,124,140,177,219,136,165
Almin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,-,-,-,-,-,7,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,-,202,-,-,-,-,-,192,-,-,238
Almir,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,220,-,-,-,-,-,-,-,-,-
Amadej,10,6,14,25,22,13,29,35,21,26,22,20,25,16,29,32,26,32,36,16,24,21,21,13,16,9,15,27,124,147,94,69,74,96,62,59,77,70,78,81,73,98,73,67,86,77,72,124,97,100,106,136,125,167,129,88
Amar,-,-,-,-,-,-,-,6,-,7,8,12,7,10,-,13,13,10,21,19,20,20,26,19,22,22,22,32,-,-,-,-,-,-,-,145,-,138,133,106,145,132,-,122,127,156,108,111,110,104,91,114,102,110,100,73
Ambro�,-,7,12,9,14,-,9,13,7,13,10,17,12,15,11,11,8,9,11,17,12,17,14,9,12,7,7,7,-,134,103,121,97,-,113,99,140,100,110,88,107,103,130,134,163,165,154,122,148,116,140,164,140,198,190,190
Amel,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-,194,188,-,-,-,-,-,-,-,-,-,-,-,-
Amin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,-,-,235,-,-,-,-,-
Amir,-,-,-,-,7,7,-,-,5,-,5,-,8,-,-,-,5,5,-,-,-,-,-,-,8,-,-,-,-,-,-,-,140,131,-,-,168,-,183,-,135,-,-,-,213,222,-,-,-,-,-,-,177,-,-,-
Ammar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,6,5,-,6,-,9,5,10,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,-,-,203,220,-,205,-,177,233,153,198,205,-
An,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,-,-,-,-,-,-,-,-
Andi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,-,-
Andra�,98,97,75,80,111,127,120,121,116,109,101,84,72,67,85,75,62,68,72,62,52,63,43,52,44,44,36,33,35,35,39,36,26,22,22,20,25,23,27,29,34,40,28,36,45,43,41,44,52,42,65,50,57,60,70,68
Andreas,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andrej,130,122,119,106,86,79,64,59,64,42,33,52,34,35,34,35,25,40,27,31,35,39,30,28,26,30,17,21,27,29,28,27,35,37,42,42,38,54,60,47,57,58,64,63,90,67,92,77,73,71,83,84,89,86,117,100
Anej,17,19,10,18,11,16,25,23,39,39,48,76,94,119,124,153,127,109,137,126,114,106,100,77,99,93,89,67,89,82,115,83,107,86,71,78,57,58,51,33,27,20,21,15,23,27,21,24,25,23,25,31,24,22,23,36
Anel,-,-,-,-,-,-,-,6,5,-,7,-,7,6,6,8,7,14,12,6,13,10,9,9,9,8,8,6,-,-,-,-,-,-,-,145,168,-,145,-,145,167,182,157,180,131,146,208,138,164,177,164,163,179,178,209
Anes,-,-,-,-,-,-,-,7,-,-,5,6,-,10,8,9,7,7,5,11,5,-,-,5,-,7,6,-,-,-,-,-,-,-,-,133,-,-,183,165,-,132,159,145,180,189,220,150,231,-,-,233,-,198,205,-
Anis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,5,7,5,5,5,8,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172,188,213,189,220,223,231,177,-,-,-,-,238,-
Anton,17,13,11,17,8,13,8,5,11,10,9,-,-,-,-,6,-,-,-,-,5,-,-,-,-,-,-,5,89,100,105,86,128,96,121,159,104,118,122,-,-,-,-,188,-,-,-,-,231,-,-,-,-,-,-,238
