"Baby boys' first names, Slovenia, annually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST NAME,Number 1992,Number 1993,Number 1994,Number 1995,Number 1996,Number 1997,Number 1998,Number 1999,Number 2000,Number 2001,Number 2002,Number 2003,Number 2004,Number 2005,Number 2006,Number 2007,Number 2008,Number 2009,Number 2010,Number 2011,Number 2012,Number 2013,Number 2014,Number 2015,Number 2016,Number 2017,Number 2018,Number 2019,Rank 1992,Rank 1993,Rank 1994,Rank 1995,Rank 1996,Rank 1997,Rank 1998,Rank 1999,Rank 2000,Rank 2001,Rank 2002,Rank 2003,Rank 2004,Rank 2005,Rank 2006,Rank 2007,Rank 2008,Rank 2009,Rank 2010,Rank 2011,Rank 2012,Rank 2013,Rank 2014,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019
Jasmin,22,10,10,7,15,14,11,8,7,10,-,-,5,-,-,-,6,6,5,-,-,-,-,-,5,-,-,-,83,109,115,132,88,89,102,125,140,118,-,-,180,-,-,-,189,203,220,-,-,-,-,-,231,-,-,-
Ja�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,5,6,12,5,8,-,10,10,9,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,188,213,203,146,223,176,-,166,151,163,179,238,-
Ja�a,14,8,-,10,10,11,12,18,16,18,17,24,35,22,45,51,45,57,47,34,47,52,45,44,32,48,39,43,98,123,-,118,115,109,97,87,87,88,89,71,56,80,52,52,60,51,59,71,64,53,61,60,73,52,68,52
Jernej,157,134,128,112,144,113,99,81,78,73,77,54,61,52,60,53,50,55,45,44,31,29,34,29,32,23,23,18,17,26,24,25,20,25,25,30,32,32,34,44,42,46,43,48,55,54,61,59,82,81,75,81,73,105,93,120
Job,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,-,-,-,180,-,-,-,213,222,-,-,-,-,-,-,-,-,-,-
Jon,-,-,-,-,13,12,16,14,12,13,16,20,25,15,26,36,34,42,37,39,36,28,34,40,32,32,34,36,-,-,-,-,100,101,88,92,100,100,93,81,73,103,76,61,70,64,70,66,71,82,75,62,73,82,71,63
Jona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,-,-,-,233,-,-,-,-
Jonas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,9,8,-,9,6,7,8,8,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163,-,168,181,-,169,211,193,177,179,205,209
Jonatan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,6,8,-,8,11,-,6,6,7,11,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,203,183,-,176,156,-,213,208,198,149,165
Josip,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jo�t,11,9,12,11,19,16,20,19,21,26,21,19,26,24,23,19,38,45,39,24,26,24,27,26,15,30,17,19,114,117,103,108,84,86,77,84,77,70,79,84,72,77,84,99,65,61,68,99,93,96,89,93,128,86,117,112
Jovan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,208,-,178,-
Jo�e,35,34,18,25,21,19,15,10,8,8,8,5,9,8,5,-,-,6,6,-,7,-,-,5,-,-,-,-,61,65,85,69,79,81,91,113,130,127,133,181,129,147,194,-,-,203,202,-,194,-,-,233,-,-,-,-
Jo�ef,6,8,-,-,7,8,-,-,-,5,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,123,-,-,140,120,-,-,-,167,-,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Julian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,8,6,10,8,12,-,10,8,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174,192,181,205,164,190,140,-,156,178,190
Julij,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,205,-,235,193,-,-,-,-
Julijan,-,-,7,-,-,-,-,5,-,7,7,7,-,7,-,-,8,7,12,13,15,11,8,11,18,24,11,19,-,-,135,-,-,-,-,159,-,138,145,147,-,158,-,-,163,189,146,136,127,156,190,145,117,100,149,112
Jure,190,196,219,200,173,160,139,156,139,133,124,117,121,112,103,112,130,133,108,121,78,73,72,80,63,49,57,36,16,13,11,13,14,16,19,18,17,18,19,19,19,23,25,24,22,20,27,26,37,38,37,30,43,50,42,63
Jurij,15,18,16,8,15,23,17,25,19,28,21,17,33,25,26,33,36,40,35,36,52,40,39,27,40,34,40,41,96,86,87,124,88,74,85,71,82,68,79,88,63,73,76,66,67,67,75,70,52,69,68,88,61,75,65,55
Jusuf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,-,-,-
Ju�,6,10,6,-,8,7,-,14,13,11,8,10,11,15,14,20,12,8,16,11,20,9,7,11,11,8,11,10,154,109,146,-,128,131,-,92,96,110,133,118,116,103,114,96,131,174,124,150,110,169,200,145,144,179,149,155
Kaan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-,-,-,161,238
Kai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,9,5,10,-,9,9,10,5,6,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,168,223,162,-,177,164,153,241,205,147
Kajetan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,204,-,-,-,219,-,-
Kan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,6,-,5,-,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,194,-,211,-,231,-,238,155
Karlo,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5,-,-,-,-,-,-,6,6,7,-,5,-,-,-,-,-,-,-,-,-,-,-,181,-,-,-,-,213,-,-,-,-,-,-,213,208,198,-,238
Kenan,-,-,-,-,-,-,-,-,9,7,6,-,-,12,10,6,-,-,10,10,6,6,7,9,-,11,8,7,-,-,-,-,-,-,-,-,123,138,164,-,-,120,143,188,-,-,160,161,205,204,200,164,-,149,178,190
Kevin,18,18,29,28,44,38,36,40,30,33,28,29,18,30,24,24,36,33,23,25,25,30,26,28,23,33,23,28,86,86,68,66,54,56,56,52,71,66,69,64,87,63,80,84,67,75,101,94,95,80,91,84,97,79,93,85
Kian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,5,-,8,-,8,-,10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,223,231,-,190,-,177,-,161,238
Kimi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,157,-,-,-,-,-,-,-,-,-,-,-,-
Klemen,201,229,220,233,202,177,154,157,121,113,110,80,78,80,79,76,66,57,53,39,51,32,40,22,31,18,15,14,14,9,10,7,11,12,15,17,22,21,22,32,31,30,30,34,42,51,53,66,55,78,67,102,76,121,129,135
Konstantin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,-,-,-,209
Kosta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,208,-,178,165
Kris,-,-,-,-,7,-,-,-,6,-,6,6,6,-,6,9,8,8,-,12,24,17,31,26,21,28,24,32,-,-,-,-,140,-,-,-,158,-,164,165,161,-,182,145,163,174,-,141,97,116,81,93,108,94,90,73
Kristian,13,12,16,13,9,12,12,11,8,18,8,-,-,8,14,9,11,15,14,11,11,17,12,6,8,9,-,6,104,102,87,96,121,101,97,105,130,88,133,-,-,147,114,145,139,122,133,150,156,116,151,213,177,167,-,209
Kristijan,33,34,37,23,27,23,15,25,38,22,20,12,11,14,8,15,8,12,20,19,10,15,11,19,8,14,7,11,66,65,60,73,69,74,91,71,59,80,81,106,116,111,159,115,163,145,110,111,162,132,158,114,177,133,190,147
Kristjan,55,66,62,65,73,70,70,74,73,91,55,53,54,55,51,32,44,58,44,34,32,28,20,24,25,29,24,21,47,41,42,43,41,41,38,33,35,27,43,46,46,44,47,67,61,50,63,71,78,82,110,98,92,92,90,100
Kri�tof,8,-,-,7,8,-,-,5,10,6,9,9,6,-,-,8,8,7,10,6,8,8,12,9,7,9,10,12,139,-,-,132,128,-,-,159,112,150,122,126,161,-,-,157,163,189,160,208,176,177,151,164,192,167,161,142
Lan,-,-,-,-,7,22,19,24,31,34,34,59,72,84,79,113,137,127,123,141,122,99,113,120,140,109,112,122,-,-,-,-,140,78,80,75,67,64,58,41,34,29,30,23,20,25,25,20,21,28,19,17,12,20,18,15
Lars,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,8,8,8,5,11,13,11,17,13,9,23,17,21,-,-,-,-,-,-,-,-,-,-,-,-,-,181,182,157,163,174,220,150,138,156,120,136,163,105,117,100
Lazar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,7,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,-,208,198,190,178
Leart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,-,-,-,-,-,-
Ledion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,-,-,-,-
Lenart,10,10,6,12,22,14,10,21,10,21,29,19,15,28,24,22,29,23,34,34,46,43,38,40,45,48,47,46,124,109,146,102,74,89,106,81,112,82,67,84,95,65,80,89,81,95,79,71,65,61,69,62,55,52,54,50
Leo,-,-,6,-,-,-,7,5,-,7,10,-,10,16,17,13,19,28,34,22,28,34,26,31,33,44,48,39,-,-,146,-,-,-,135,159,-,138,110,-,125,98,105,122,110,83,79,103,90,76,91,76,71,60,51,60
Leon,40,47,45,46,51,40,47,37,53,60,65,73,70,76,57,76,89,91,96,69,100,78,87,105,101,90,89,74,57,52,53,53,50,54,52,56,46,42,38,36,36,34,45,34,34,32,31,39,28,36,31,22,23,26,23,31
Leonard,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-,5,7,5,-,-,-,6,6,5,6,-,-,-,-,-,-,-,-,-,-,164,-,-,-,194,-,-,-,220,193,231,-,-,-,208,219,238,209
Leonardo,-,-,-,-,-,-,6,5,-,-,9,5,5,7,6,-,5,5,6,5,-,-,-,7,5,7,-,-,-,-,-,-,-,-,143,159,-,-,122,181,180,158,182,-,213,222,202,223,-,-,-,193,231,198,-,-
Lev,-,-,-,-,-,-,-,-,-,-,-,5,6,10,10,9,10,21,17,11,23,28,22,27,26,24,25,31,-,-,-,-,-,-,-,-,-,-,-,181,161,132,143,145,145,104,118,150,101,82,100,88,89,100,88,76
Liam,-,-,-,-,-,-,-,-,5,-,10,7,7,8,11,11,31,34,45,59,51,83,94,106,124,126,138,131,-,-,-,-,-,-,-,-,168,-,110,147,145,147,130,134,76,74,61,47,55,31,26,21,17,15,13,12
Lian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,9,15,18,15,22,26,20,30,33,31,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,131,165,130,117,127,99,91,108,78,79,78,88
Lin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,8,9,7,10,7,-,10,11,10,7,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,-,174,168,193,162,185,-,151,144,156,190,147
Lionel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183,-,-,-,-,-,-,-,205,-
Lorik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238
Loris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,193,-,-,-,-
Lovrenc,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,6,-,-,-,5,-,6,6,-,-,-,146,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,208,-,-,-,233,-,219,205,-
Lovro,14,26,24,22,22,33,26,37,43,54,59,55,60,63,60,78,109,133,138,130,135,145,167,125,141,153,156,142,98,72,72,76,74,59,67,56,54,47,40,42,43,42,43,33,27,20,20,22,18,15,13,16,11,10,10,11
Luan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,-,-,-,-,-,-,-,-
Luc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,-,-,-,-,-,-,-,-,-,-,-,-,-
Lucas,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,-,8,8,10,13,14,15,23,18,12,16,8,-,-,-,-,-,-,-,-,-,-,-,-,180,-,-,213,-,174,183,161,138,137,133,99,117,144,128,178
Lucijan,-,-,6,-,-,-,8,-,-,-,6,-,-,-,-,5,5,-,5,-,5,-,-,9,-,6,6,-,-,-,146,-,-,-,121,-,-,-,164,-,-,-,-,213,213,-,220,-,231,-,-,164,-,219,205,-
Luka,310,322,331,313,345,318,356,380,379,400,342,369,382,356,397,351,370,371,392,339,279,317,276,328,290,310,288,282,2,3,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lukas,-,-,-,-,-,-,6,5,10,-,11,7,16,15,24,26,31,39,36,41,44,56,49,62,67,68,58,98,-,-,-,-,-,-,143,159,112,-,104,147,93,103,80,82,76,69,72,64,67,48,53,42,40,34,41,22
Lun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,238,-
Mai,-,-,-,-,-,-,-,-,5,-,7,-,12,10,20,20,30,31,35,26,21,18,22,26,22,20,14,33,-,-,-,-,-,-,-,-,168,-,145,-,107,132,96,96,79,80,75,91,108,112,100,93,102,114,133,68
Maid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,5,8,8,8,13,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,-,-,231,177,190,180,137,-,-,165
Maik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-,-,-,-,-
Maj,-,-,8,11,18,13,26,38,58,40,77,100,115,118,137,127,132,128,120,139,116,111,121,103,89,93,102,101,-,-,126,108,86,96,67,54,41,56,34,22,21,21,16,21,21,23,26,21,24,20,17,24,28,22,21,20
Mak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190,-,-,-,205,-
Maks,12,7,-,12,15,10,20,30,27,55,54,41,49,69,82,92,122,106,126,143,129,154,118,139,139,125,123,123,109,134,-,102,88,116,77,63,73,45,45,51,49,39,29,27,24,28,24,18,20,12,18,14,13,17,14,14
Maksim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,10,13,17,12,12,15,16,21,19,20,23,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,157,145,138,118,141,148,132,124,105,115,114,93,126
Maksimilijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,-,-,-,-,-,-,-,208,-,238,-
Maksimiljan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,-,10,-,-,5,-,7,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,-,203,-,161,-,-,235,-,192,-,-,209
Malik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,7,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,-,-,-,192,-,-,238
Manuel,8,7,-,-,9,-,6,6,12,-,10,5,-,9,8,8,8,6,13,5,6,7,-,10,10,13,10,5,139,134,-,-,121,-,143,145,100,-,110,181,-,142,159,157,163,203,140,223,205,185,-,151,153,136,161,238
Marcel,13,26,19,27,25,27,34,33,42,38,57,36,38,47,50,53,53,49,57,42,55,42,50,58,52,67,46,38,104,72,81,67,72,68,59,60,56,60,42,58,55,50,49,48,52,59,51,62,46,64,52,44,48,35,56,62
Marin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,-,-,-
Mario,31,26,20,30,29,25,22,24,16,13,10,10,-,-,-,5,6,5,-,-,5,5,-,-,5,5,-,-,69,75,79,63,67,72,75,75,87,100,110,118,-,-,-,213,189,222,-,-,231,226,-,-,231,241,-,-
Marjan,17,-,14,8,-,11,6,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,-,94,124,-,109,143,-,-,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mark,25,19,31,47,42,46,48,72,56,74,102,97,111,101,137,133,169,164,177,199,212,197,208,222,187,246,211,231,76,82,65,51,55,52,51,35,44,31,25,23,23,26,16,19,13,14,12,6,7,6,5,4,6,3,5,5
Marko,211,228,207,179,178,132,137,100,124,104,106,92,87,95,76,70,67,83,67,73,62,56,57,56,49,47,45,30,12,10,12,15,13,20,21,25,19,24,23,27,29,28,35,41,41,35,45,37,42,48,46,46,54,56,58,77
Marsel,7,-,-,-,7,-,12,8,17,16,13,9,13,10,11,13,10,14,9,11,8,12,9,8,10,-,8,6,144,-,-,-,140,-,97,125,84,92,100,126,97,132,130,122,145,131,168,150,176,152,177,180,153,-,178,209
Martin,102,130,116,109,124,105,85,99,123,82,95,95,114,77,67,86,93,87,78,71,82,80,78,51,81,61,64,34,32,28,31,26,24,27,32,26,21,29,28,25,22,32,39,29,30,34,37,38,34,33,33,52,33,38,36,66
Matej,303,324,270,265,230,182,194,158,173,154,124,102,124,113,89,86,96,79,71,66,58,62,51,53,41,44,48,33,3,2,4,5,6,10,10,16,14,13,19,21,17,22,27,29,29,37,42,43,45,44,50,49,60,60,51,68
Mateo,-,-,6,-,-,-,6,-,-,-,7,7,5,6,9,7,5,5,7,10,13,10,19,15,20,28,30,43,-,-,146,-,-,-,143,-,-,-,145,147,180,167,152,172,213,222,192,161,138,164,113,128,111,94,82,52
Matev�,68,66,52,78,71,64,70,86,58,76,60,73,69,72,63,91,90,88,74,99,77,83,73,66,71,57,52,54,41,41,47,37,43,44,38,29,41,30,39,36,38,38,40,28,33,33,39,30,39,31,35,36,38,44,48,41
Matias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,5,11,8,6,11,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,176,226,158,180,208,149,178,165
Matic,247,250,261,228,212,230,209,215,238,176,174,171,180,183,183,189,196,192,213,192,168,137,129,119,94,78,86,88,6,7,5,9,9,7,9,6,5,11,11,10,8,7,7,8,9,10,7,8,13,18,16,18,26,30,25,23
Matija,64,64,77,57,61,63,78,56,77,72,95,75,77,75,74,85,93,102,97,99,83,84,85,85,90,93,66,78,42,43,38,46,46,45,33,44,33,33,28,35,32,35,37,31,30,30,29,30,33,30,32,27,27,22,35,28
Matja�,102,98,90,76,73,48,61,51,35,37,31,29,21,19,22,16,17,21,13,10,16,7,8,6,7,10,6,7,32,34,36,39,41,50,44,49,61,61,62,64,81,90,88,111,119,104,140,161,125,185,190,213,192,156,205,190
Matteo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,219,149,-
Max,-,-,-,-,-,9,-,-,9,5,10,11,8,5,6,9,20,15,19,37,21,24,28,31,21,25,18,19,-,-,-,-,-,120,-,-,123,167,110,109,135,181,182,145,109,122,112,69,108,96,88,76,108,99,112,112
May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,-,-,-,-,-,-,-
Maxim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,-,-,-,-,-,-,-
Maximilian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,238
Metod,-,-,-,6,-,-,8,6,-,-,-,-,-,6,6,-,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,148,-,-,121,145,-,-,-,-,-,167,182,-,189,189,-,-,-,-,-,-,-,-,-,-
Michael,6,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,-,-,-,-,-,-,-,158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Miha,245,218,200,211,230,179,191,201,214,189,192,184,149,154,162,148,168,147,150,144,122,100,108,82,98,96,54,49,7,11,14,12,6,11,11,9,6,7,8,6,13,11,10,16,14,17,17,17,21,27,21,29,25,21,46,46
Mihael,42,35,40,33,31,37,35,27,29,26,25,25,27,20,16,13,25,15,23,18,18,18,18,14,18,15,12,22,56,62,56,60,63,57,58,67,72,70,74,68,70,86,107,122,90,122,101,117,121,112,117,131,117,129,140,98
Mihajlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,5,-,10,-,7,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,-,231,-,166,-,192,219,178,-
Mike,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238
Milan,24,14,7,13,13,7,-,8,-,6,-,6,5,-,-,5,6,5,-,7,-,-,9,5,-,-,-,-,77,95,135,96,100,131,-,125,-,150,-,165,180,-,-,213,189,222,-,193,-,-,177,233,-,-,-,-
Milo�,-,6,-,7,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,11,-,-,6,9,5,10,5,8,-,147,-,132,-,-,-,-,-,-,-,-,-,147,-,-,-,-,-,150,-,-,211,164,231,156,238,178
Miran,11,8,8,7,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114,123,126,132,-,-,-,-,-,-,-,181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mirko,8,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139,-,135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mi�el,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mitja,153,146,123,96,102,94,95,66,52,66,40,43,40,28,20,19,19,22,12,14,11,14,11,11,6,5,12,5,19,19,26,31,30,29,28,37,48,38,54,50,52,65,96,99,110,96,146,133,156,137,158,145,208,241,140,238
Muhamed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,5,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,-,-,-,-,-,-,-,231,-,-,209
Nace,8,6,14,10,8,14,11,12,16,9,20,24,15,21,31,17,27,32,38,46,48,49,49,63,52,50,49,79,139,147,94,118,128,89,102,103,87,125,81,71,95,83,69,108,83,77,69,57,62,56,53,41,48,49,49,26
Nai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,6,6,10,7,12,6,11,7,14,13,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,203,202,161,194,152,211,145,192,133,136,108
Nail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,-,-,-,179,-,-
Naj,-,-,-,-,-,-,-,-,-,-,-,5,7,6,9,5,10,11,13,15,14,14,17,13,16,16,11,23,-,-,-,-,-,-,-,-,-,-,-,181,145,167,152,213,145,149,140,129,133,137,120,136,125,125,149,96
Nal,-,-,-,-,-,-,-,5,5,7,8,8,11,14,16,12,17,17,19,26,23,19,27,12,17,24,23,26,-,-,-,-,-,-,-,159,168,138,133,139,116,111,107,130,119,109,112,91,101,106,89,140,122,100,93,90
Natan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,5,-,-,5,7,-,7,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-,220,-,-,226,200,-,192,-,205,209
Nej,-,-,-,-,-,-,-,-,-,-,5,-,-,5,8,-,9,12,14,15,9,6,9,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,183,-,-,181,159,-,154,145,133,129,173,204,177,164,177,-,-,-
