Contents,,,,
,,,,
"Table 6: Top names for baby girls1,2, 2017",,,,
England and Wales
Source: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsgirls
License: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
,,,,
,,,,
Rank,Name,Count3,,
194,AYESHA ,274,,
195,HAZEL ,271,,
196,INDIA ,267,,
196,MARIAM ,267,,
198,ALBA ,263,,
198,ANNABEL ,263,,
198,AOIFE ,263,,
201,GEORGINA ,262,,
201,SAFA ,262,,
203,KEIRA ,261,,
204,AMINA ,258,,
205,ALICIA ,256,,
205,AMELIA-ROSE ,256,,
205,NICOLE ,256,,
208,ALEXIS ,254,,
209,CORA ,251,,
210,LIBBY ,250,,
211,LUCIA ,247,,
212,AMARA ,243,,
212,OPHELIA ,243,,
212,TABITHA ,243,,
215,EVE ,242,,
216,POLLY ,241,,
217,ALISHA ,240,,
217,LILAH ,240,,
219,APRIL ,239,,
220,PRIMROSE ,237,,
221,MADELEINE ,234,,
221,PEARL ,234,,
223,ANYA ,232,,
224,HALLE ,226,,
224,MAIA ,226,,
226,OTTILIE ,225,,
227,MELISSA ,224,,
228,EMMIE ,223,,
229,ALEENA ,219,,
230,LAILA ,218,,
231,ELIANA ,217,,
231,JEMIMA ,217,,
233,NELLIE ,216,,
233,VALENTINA ,216,,
235,HATTIE ,215,,
236,KHADIJAH ,214,,
237,ANTONIA ,212,,
238,INDIE ,211,,
239,LEXIE ,210,,
240,BELLE ,209,,
240,ZOFIA ,209,,
242,ALYSSA ,208,,
243,NEVE ,207,,
244,ARIANNA ,206,,
245,ATHENA ,205,,
245,JOSEPHINE ,205,,
247,AURELIA ,204,,
248,ISLA-ROSE ,200,,
248,ZOYA ,200,,
250,DOROTHY ,199,,
250,NORA ,199,,
252,WREN ,197,,
253,CALLIE ,196,,
253,HANIYA ,196,,
253,NOOR ,196,,
256,CARA ,195,,
257,JENNIFER ,193,,
257,LANA ,193,,
257,SYEDA ,193,,
260,ELLA-ROSE ,191,,
260,JESSIE ,191,,
260,RILEY ,191,,
260,YASMIN ,191,,
264,ARIELLA ,190,,
265,MACIE ,188,,
265,TALLULAH ,188,,
267,AUBREY ,184,,
267,FATIMAH ,184,,
267,JOSIE ,184,,
270,KIARA ,183,,
271,QUINN ,182,,
272,HELENA ,180,,
273,NOVA ,179,,
274,BEAU ,178,,
274,HAFSA ,178,,
274,LILLIAN ,178,,
277,GABRIELA ,177,,
277,NADIA ,177,,
277,ZAYNAB ,177,,
280,CAITLIN ,176,,
281,ALEXIA ,174,,
281,TALIA ,174,,
283,RACHEL ,173,,
284,EMELIA ,172,,
284,FAYE ,172,,
284,KAYLA ,172,,
287,MIRIAM ,171,,
288,ALAYNA ,170,,
288,CONSTANCE ,170,,
288,HARLOW ,170,,
288,LAUREN ,170,,
292,NYLA ,169,,
293,FLORA ,168,,
294,AIZA ,167,,
294,ROSALIE ,167,,
296,ALICJA ,166,,
297,ANA ,165,,
298,AUDREY ,164,,
298,RIVER ,164,,
300,EMILIE ,163,,
300,LILY-ROSE ,163,,
302,ALESSIA ,162,,
303,NIA ,161,,
303,PEYTON ,161,,
305,DOLLY ,160,,
306,MINNIE ,159,,
306,NELL ,159,,
308,HANA ,158,,
308,MELODY ,158,,
308,TIA ,158,,
311,ALIYAH ,157,,
312,AVA-ROSE ,156,,
313,CATHERINE ,155,,
313,OLIWIA ,155,,
315,AUBREE ,153,,
315,LIYANA ,153,,
317,KARA ,152,,
318,DIANA ,151,,
318,HARMONY ,151,,
320,FFION ,150,,
320,LILA ,150,,
320,MARY ,150,,
320,MILEY ,150,,
324,ALINA ,149,,
324,LEIA ,149,,
324,NATALIE ,149,,
327,CLEMENTINE ,147,,
327,NORAH ,147,,
329,BILLIE ,146,,
329,VERITY ,146,,
331,ANAYAH ,144,,
331,ETTA ,144,,
333,LOUISA ,143,,
333,SCARLET ,143,,
335,ANGEL ,142,,
335,IMAAN ,142,,
335,JORGIE ,142,,
338,INAYAH ,141,,
338,OLIVIA-ROSE ,141,,
340,AMIRAH ,140,,
340,ESMEE ,140,,
340,FLEUR ,140,,
340,PHILIPPA ,140,,
344,DARIA ,139,,
344,IDA ,139,,
346,STELLA ,138,,
347,EMMELINE ,137,,
348,ANNABELLA ,136,,
348,AYAH ,136,,
350,AMINAH ,134,,
350,EFFIE ,134,,
350,ELISA ,134,,
350,SAPPHIRE ,134,,
354,EBONY ,133,,
354,INAYA ,133,,
354,TIANA ,133,,
357,VANESSA ,132,,
358,AYA ,131,,
358,AYAT ,131,,
360,IVY-ROSE ,130,,
360,IYLA ,130,,
362,AYDA ,129,,
362,NYLAH ,129,,
364,EVANGELINE ,128,,
364,EVERLY ,128,,
364,IZABELLA ,128,,
367,MAISY ,127,,
367,MARLEY ,127,,
369,KATHERINE ,126,,
370,ADELINE ,124,,
370,LILY-MAE ,124,,
370,MADELINE ,124,,
370,PIXIE ,124,,
370,VIENNA ,124,,
370,YUSRA ,124,,
376,AGNES ,122,,
376,ASTRID ,122,,
378,JANNAT ,121,,
378,REEVA ,121,,
380,MADDIE ,120,,
381,AAMINAH ,119,,
381,BETTY ,119,,
383,AVA-GRACE ,118,,
383,DOTTIE ,118,,
383,FRANCES ,118,,
386,CLAUDIA ,117,,
386,MICHELLE ,117,,
386,SYLVIE ,117,,
389,ANAIS ,116,,
389,IQRA ,116,,
391,LEYLA ,114,,
391,LIA ,114,,
391,RUTH ,114,,
394,IONA ,113,,
394,WINNIE ,113,,
396,ARIYA ,111,,
396,EVIE-ROSE ,111,,
396,SAOIRSE ,111,,
396,SYDNEY ,111,,
400,ALAYA ,110,,
400,DESTINY ,110,,
400,MIA-ROSE ,110,,
403,MARWA ,109,,
403,SKYLER ,109,,
405,BIANCA ,108,,
405,ELLEN ,108,,
405,ELSA ,108,,
405,ERICA ,108,,
405,GRACIE-MAE ,108,,
405,LUCIE ,108,,
405,SASHA ,108,,
412,KITTY ,107,,
413,ALMA ,106,,
413,ANIKA ,106,,
413,GABRIELLE ,106,,
413,HALIMA ,106,,
413,MACEY ,106,,
413,MARGARET ,106,,
413,MINAHIL ,106,,
420,ALEKSANDRA ,105,,
420,FREYJA ,105,,
420,KAITLYN ,105,,
420,RAE ,105,,
424,LILLY-ROSE ,104,,
424,MYAH ,104,,
424,MYRA ,104,,
427,ALANNAH ,103,,
427,CIARA ,103,,
427,KIRA ,103,,
427,SAMANTHA ,103,,
431,ADRIANA ,102,,
431,BLOSSOM ,102,,
433,ELLIE-MAE ,101,,
433,HAFSAH ,101,,
433,HENRIETTA ,101,,
433,LIVIA ,101,,
433,MILENA ,101,,
433,SERENA ,101,,
439,ALEEZA ,100,,
439,ALIYA ,100,,
439,JOANNA ,100,,
442,BELLA-ROSE ,99,,
442,DOLCIE ,99,,
442,ERIKA ,99,,
442,ESHAAL ,99,,
442,FEARNE ,99,,
442,KYRA ,99,,
448,AILA ,98,,
448,AIMEE ,98,,
448,SHANAYA ,98,,
448,TAYLOR ,98,,
448,VIVIENNE ,98,,
453,DAKOTA ,97,,
453,DEMI ,97,,
453,LACIE ,97,,
453,MILANA ,97,,
453,PRIYA ,97,,
453,RAYA ,97,,
453,WIKTORIA ,97,,
453,WINTER ,97,,
461,HONEY ,96,,
461,KLARA ,96,,
461,REMI ,96,,
464,ADDISON ,95,,
464,DANIELLA ,95,,
464,EIRA ,95,,
467,AIYLA ,94,,
467,AMALIA ,94,,
467,AMIYAH ,94,,
467,CARYS ,94,,
467,KIERA ,94,,
472,AVA-MAE ,93,,
472,DAPHNE ,93,,
472,FERN ,93,,
472,LILLY-MAE ,93,,
472,POLA ,93,,
472,SABRINA ,93,,
472,SAFIYYAH ,93,,
479,RENEE ,92,,
480,ALYSSIA ,91,,
480,AMAYAH ,91,,
480,BROOKLYN ,91,,
480,EMAAN ,91,,
480,HAREEM ,91,,
480,SIA ,91,,
486,ELA ,90,,
486,GENEVIEVE ,90,,
486,JULIETTE ,90,,
486,KARINA ,90,,
486,ROWAN ,90,,
491,KATE ,89,,
491,MEREDITH ,89,,
493,ANTONINA ,88,,
493,AYRA ,88,,
493,MALI ,88,,
493,NELLY ,88,,
493,NIKOLA ,88,,
493,SANA ,88,,
499,AMEERA ,87,,
499,BLAKE ,87,,
499,LOUISE ,87,,
499,MANHA ,87,,
503,HAWA ,86,,
503,JADE ,86,,
503,LEA ,86,,
503,MILLY ,86,,
507,ABBIE ,85,,
507,AMEERAH ,85,,
507,AYANA ,85,,
507,KYLA ,85,,
511,ASIYA ,84,,
511,EMMY ,84,,
511,HERMIONE ,84,,
514,ANIYAH ,83,,
514,ARIAH ,83,,
514,CAMILLA ,83,,
514,CHELSEA ,83,,
514,ELIN ,83,,
514,ELLIE-MAY ,83,,
514,JUNO ,83,,
514,KORNELIA ,83,,
514,MACY ,83,,
514,MAIRA ,83,,
514,MIRA ,83,,
514,SCARLETT-ROSE ,83,,
526,ADELE ,82,,
526,CAITLYN ,82,,
526,HARRIETT ,82,,
526,INDIANA ,82,,
526,SAFIYA ,82,,
526,STEPHANIE ,82,,
526,SUMAYYAH ,82,,
533,BRIANNA ,81,,
533,EVELINA ,81,,
533,HARPER-ROSE ,81,,
533,MINA ,81,,
533,ORLAITH ,81,,
533,RHEA ,81,,
533,RUQAYYAH ,81,,
533,TIFFANY ,81,,
541,ALYS ,80,,
541,CERYS ,80,,
541,DIYA ,80,,
541,ISRA ,80,,
541,LILLY-MAY ,80,,
541,MEADOW ,80,,
541,NOLA ,80,,
541,SIENA ,80,,
549,ADELAIDE ,79,,
549,HALEEMA ,79,,
549,KEZIAH ,79,,
549,LAYLA-ROSE ,79,,
549,LILIA ,79,,
549,OCTAVIA ,79,,
549,POPPIE ,79,,
549,SAFAA ,79,,
549,SASKIA ,79,,
558,ANGELINA ,78,,
558,LILLIE-MAE ,78,,
560,ANNALISE ,77,,
560,MAEVE ,77,,
560,NEAVE ,77,,
560,RAVEN ,77,,
