Frecuencias de nombres masculinos,,,
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2017,,,
INE.es
,,,
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.,,,
(*) Edad media de las personas que tienen ese nombre a nivel nacional.,,,
,,,
Orden,Nombre,Frecuencia,Edad Media (*)
252,JOSE ANDRES,9.821 ,"45,2"
253,JESUS ANGEL,9.723 ,"47,0"
254,LUIS ANTONIO,9.701 ,"48,8"
255,FIDEL,9.673 ,"57,9"
256,LUIS MARIA,9.645 ,"55,1"
257,JULIO CESAR,9.601 ,"43,4"
258,MUSTAPHA,9.478 ,"41,4"
259,RAMIRO,9.461 ,"56,8"
260,AMADOR,9.432 ,"59,0"
261,LUIS ANGEL,9.417 ,"46,6"
262,SIMON,9.383 ,"41,3"
263,CLAUDIO,9.282 ,"53,2"
264,ROGELIO,9.101 ,"59,6"
265,IGOR,9.026 ,"34,5"
266,JACOBO,8.897 ,"27,8"
267,ALEXIS,8.815 ,"24,8"
268,MANUEL ANTONIO,8.809 ,"48,9"
269,FRANCISCO MIGUEL,8.787 ,"41,8"
270,LUCIANO,8.754 ,"60,3"
271,ION,8.748 ,"40,4"
272,ALEXANDRE,8.745 ,"28,6"
273,EZEQUIEL,8.728 ,"34,6"
274,BIEL,8.714 ,"7,1"
275,PEDRO MANUEL,8.654 ,"44,4"
276,IAN,8.520 ,"10,6"
277,MODESTO,8.409 ,"63,0"
278,ILDEFONSO,8.385 ,"58,1"
279,ANDREU,8.384 ,"29,5"
280,JOAQUIM,8.384 ,"50,1"
281,JOSE FERNANDO,8.353 ,"48,1"
282,FLORENTINO,8.338 ,"65,2"
283,JUAN DIOS,8.324 ,"49,2"
284,NIL,8.230 ,"9,5"
285,JUAN VICENTE,8.089 ,"49,0"
286,HASSAN,8.063 ,"41,2"
287,JUAN DIEGO,7.987 ,"33,1"
288,JOSE DANIEL,7.961 ,"35,3"
289,MANUEL JOSE,7.935 ,"48,2"
290,PAULINO,7.902 ,"62,9"
291,YAGO,7.880 ,"12,6"
292,ANTONIO JAVIER,7.825 ,"39,3"
293,CARLOS MANUEL,7.791 ,"41,9"
294,LEANDRO,7.788 ,"49,3"
295,ANTONIO MIGUEL,7.742 ,"43,7"
296,CONSTANTINO,7.714 ,"60,2"
297,JUAN ANDRES,7.700 ,"44,3"
298,CELESTINO,7.685 ,"63,5"
299,AVELINO,7.680 ,"64,1"
300,ENZO,7.679 ,"4,1"
301,ELADIO,7.633 ,"62,1"
302,ANTONIO LUIS,7.623 ,"46,2"
303,LUIS JAVIER,7.559 ,"44,9"
304,CAYETANO,7.539 ,"45,1"
305,SATURNINO,7.524 ,"66,7"
306,JORGE LUIS,7.439 ,"41,5"
307,PEDRO MARIA,7.435 ,"57,1"
308,JOSUE,7.342 ,"25,6"
309,PEDRO JESUS,7.342 ,"41,1"
310,GHEORGHE,7.311 ,"46,7"
311,VASILE,7.309 ,"44,1"
312,LUIS CARLOS,7.294 ,"45,6"
313,IBAI,7.290 ,"13,6"
314,RUFINO,7.219 ,"64,9"
315,FABIAN,7.115 ,"34,4"
316,MAURO,7.072 ,"20,8"
317,IAGO,7.061 ,"15,6"
318,NESTOR,7.060 ,"29,9"
319,MANEL,7.030 ,"32,8"
320,JUAN ANGEL,7.012 ,"47,6"
321,FRANCESC XAVIER,6.987 ,"46,8"
322,ARITZ,6.984 ,"19,2"
323,MUHAMMAD,6.959 ,"34,9"
324,ANGEL MANUEL,6.924 ,"43,1"
325,ROBERT,6.850 ,"37,0"
326,GASPAR,6.779 ,"56,2"
327,KHALID,6.764 ,"35,4"
328,AIMAR,6.728 ,"9,0"
329,IMANOL,6.726 ,"29,2"
330,CLEMENTE,6.621 ,"60,0"
331,IOAN,6.600 ,"46,3"
332,BASILIO,6.479 ,"60,1"
333,RICARD,6.475 ,"36,9"
334,FELICIANO,6.433 ,"64,8"
335,MARCELO,6.427 ,"46,6"
336,RAIMUNDO,6.396 ,"59,7"
337,ABDELLAH,6.334 ,"39,8"
338,RAYAN,6.315 ,"5,1"
339,ANDONI,6.294 ,"29,7"
340,LUCA,6.294 ,"13,1"
341,HILARIO,6.266 ,"62,9"
342,MARKEL,6.122 ,"10,5"
343,OIER,6.091 ,"12,6"
344,JOSU,6.080 ,"31,4"
345,EVARISTO,6.076 ,"61,8"
346,ABDELKADER,6.066 ,"45,5"
347,JUAN ALBERTO,6.057 ,"40,8"
348,JESUS ANTONIO,6.004 ,"49,3"
349,BRAIS,5.954 ,"14,3"
350,ANGEL MARIA,5.951 ,"53,3"
351,FERNANDO JOSE,5.894 ,"42,2"
352,MARCIAL,5.888 ,"59,6"
353,BERNAT,5.854 ,"22,1"
354,JOSEBA,5.843 ,"33,8"
355,LAUREANO,5.841 ,"61,6"
356,HICHAM,5.835 ,"32,0"
357,ELISEO,5.807 ,"60,1"
358,BILAL,5.755 ,"15,6"
359,ROBERTO CARLOS,5.753 ,"35,1"
