,,
,,
2001,,
Name,Number of Babies,Rank
Corie,..,..
Corin,..,..
Corum,..,..
Courtney,..,..
Crawford,..,..
Criostoir,..,..
Crory,..,..
Curtis-Jamie,..,..
Dade,..,..
Daineal,..,..
Dairmuid,..,..
Dallan,..,..
Damian,..,..
Damien,..,..
Damon,..,..
Danaan,..,..
Danial,..,..
Danny,..,..
Daraigh,..,..
Darcy,..,..
Daren,..,..
Darien,..,..
Darius,..,..
Darrach,..,..
Darran,..,..
Darrell,..,..
Davan,..,..
Davin,..,..
Dawood,..,..
Dawson,..,..
Dayyan,..,..
Deaghlan,..,..
Deaglan,..,..
Dean-Lee,..,..
Deasmhumhnach,..,..
Deejay,..,..
Delaney,..,..
Denis,..,..
Deon,..,..
Derek,..,..
Devane,..,..
Devin,..,..
Devon,..,..
Diarmid,..,..
Dino,..,..
Dion,..,..
Domhnall,..,..
Dominick,..,..
Don,..,..
Donall,..,..
Donnaca,..,..
Donnchad,..,..
Donogh,..,..
Douglas,..,..
Dualta,..,..
Duane,..,..
Duncan,..,..
Dwayne,..,..
Dylin,..,..
Dylon,..,..
Eathain,..,..
Eathan,..,..
Eben,..,..
Eddie,..,..
Eden,..,..
Edison,..,..
Edwyn,..,..
Eion,..,..
Eli,..,..
Elias,..,..
Elijah,..,..
Eliot,..,..
Elliot,..,..
Ellis,..,..
Elorm,..,..
Eoghain,..,..
Eolan,..,..
Eorann,..,..
Eric,..,..
Erjon,..,..
Ethain,..,..
Evin,..,..
Eythan,..,..
Ezra,..,..
Faolan,..,..
Farok,..,..
Farron,..,..
Fatlum,..,..
Feargal,..,..
Fearghall,..,..
Feidhlim,..,..
Felix,..,..
Fiachra,..,..
Finley,..,..
Finnan,..,..
Finnbar,..,..
Finnbarr,..,..
Finntoin,..,..
Fionnbar,..,..
Fiontan,..,..
Fletcher,..,..
Forrest,..,..
Fouad,..,..
Francie,..,..
Frank,..,..
Fynn,..,..
Gairiad,..,..
Garion,..,..
Garrett,..,..
Garry,..,..
Garvin,..,..
Gavan,..,..
Gearoid,..,..
Geert,..,..
Gerald,..,..
Gerry,..,..
Gianluca,..,..
Giovanni,..,..
Glynn,..,..
Gorav,..,..
