Doğum tarihine göre en çok kullanımda olan kadın isimleri ve ilk 100 isim içindeki sıralaması, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The most used woman names by the year of birth and order in the first hundred names, 1950-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ad-Name;Doğum yılı-Year of birth;;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;;;Doğum yılı-Year of birth;;;;;;;;;;;;;
Gizem;;;;;;;;;;;;48;45;36;29;23;15;15;17;15;16;15;15;17;20;20;33;36;53;61;62;68;76;75;91;98;;;;;;;;
Gökçe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;75;69;59;43
Gönül;92;34;35;58;56;65;61;65;67;85;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gözde;;;;;;;;;;;;57;54;55;57;54;51;55;63;78;94;;;;;;;;;;;;;;;;;;;;;;;
Gül;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gülay;;70;24;39;40;46;44;51;56;66;76;86;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gülcan;;;56;44;45;51;53;54;63;57;62;77;63;78;85;86;85;75;73;75;82;89;91;93;88;86;97;;;;;;;;;;;;;;;;;
Gülce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97
Güler;71;30;45;83;84;81;88;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Güllü;36;62;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gülseren;98;40;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gülsüm;23;42;63;70;70;73;65;72;69;63;63;61;65;65;68;71;73;79;79;79;83;93;;91;94;95;;;;;;;;;;;;;;;;;;
Gülşah;;;;;;97;77;58;54;51;48;68;70;87;91;81;79;65;62;81;99;;;;;;;;;;;;;;;;;;;;;;;
Gülşen;97;51;69;69;72;72;71;71;79;82;86;96;93;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gülten;60;32;48;78;75;92;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gülüzar;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Güneş;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;67;65;63;56;46
Habibe;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hacer;15;19;14;23;21;22;25;30;29;35;36;40;49;53;58;62;62;66;69;71;73;81;88;89;97;91;99;;;;;;;;;;;;;;;;;
Hafize;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hafsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;79;83
Halime;25;48;50;52;53;54;60;53;64;59;66;73;74;71;75;77;71;80;80;83;88;88;94;96;;;;;;;;;;;;;;;;;;;;
Hamide;44;60;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hanım;32;50;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hanife;9;12;19;45;44;53;55;57;60;69;74;87;86;92;94;;99;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hatice;4;4;4;4;4;4;4;4;4;4;4;4;4;7;7;7;10;10;10;10;10;10;10;10;12;12;12;10;11;12;12;12;17;18;23;16;21;30;30;32;36;42;48;49
Hatice Kübra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;96;91;89;83;79;95;;98
Hatun;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hava;22;33;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Havin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;95;;;100;96;82;86;84;46;63;95;;;;
Havva;13;13;20;34;37;35;36;41;39;40;43;47;56;59;64;66;64;70;76;76;80;98;;;;;;;;;;;;;;91;;;;;;;;
Hayriye;16;26;55;92;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hayrunnisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;53;53;55;47;50;57;81;85;86;;;;
Hazal;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;98;92;;99;86;82;80;70;81;88;56;60;43;43;40;48
Hediye;62;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helin;;;;;;;;;;;;;;;;;;;;;;;;;65;58;28;33;44;52;78;98;99;;;;;;;;;;;
Hilal;;;;;;93;84;80;80;67;58;53;50;47;42;39;34;34;22;19;18;16;17;20;25;27;30;34;37;38;44;49;55;54;57;59;69;68;78;73;52;55;67;76
Hira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;16;19;29;29;35;58
Hira Nur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;76;15;14;15;22;31;34;60
Hiranur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;43;28;19;14;11;9;3;3;3;4;6;12;16
Huriye;46;65;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hülya;;56;5;15;15;15;17;16;16;14;13;12;12;17;20;22;29;42;49;59;68;87;98;;;;;;;;;;;;;;;;;;;;;
Hümeyra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;79;64;60;69;42;44;44;54
Irmak;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;43;41;40;39;38;40;33;33;13;35;51;62;47;47;75;73
İkra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;65;47;32;23;20;23
İkra Nur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99
İkranur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;85;76;85;62
İlayda;;;;;;;;;;;;;;;;;;;;;86;71;46;34;21;18;16;19;22;17;22;26;34;46;50;54;78;95;;;;;;
İlknur;;;65;51;51;48;42;45;52;54;49;52;64;60;62;61;58;56;60;62;60;63;73;75;75;80;87;90;86;67;67;73;79;86;90;;;;;;;;;
İnci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;87
İpek;;;;;;;;;;;;;;;98;94;89;82;72;77;64;67;85;100;;;;96;88;;;;;87;84;79;89;85;72;68;60;50;46;40
İrem;;;;;;;;;;;;;;;;;;91;43;25;20;14;12;11;7;4;4;4;5;3;3;4;5;6;9;18;43;49;46;46;61;82;77;85
Kader;;;;;;;;;;98;93;;90;85;90;87;82;68;40;26;13;18;18;24;34;33;50;62;75;88;;;;;;;;;;;;;;
Kadriye;19;15;31;59;63;58;62;70;75;77;80;95;96;96;95;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kamile;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kardelen;;;;;;;;;;;;;;;;;;;;;;;;95;99;;;93;65;80;;91;96;;;;;;;;;;;
Kevser;;;;;;;;;;;;;;;;;;;;98;100;;;;;;;;;97;99;;;97;;;;;;;;;;
Kezban;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keziban;33;37;59;87;89;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kıymet;93;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kumsal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;66;65;57;57
Kübra;;;;;;;;;97;61;38;30;20;12;9;8;6;4;4;4;5;7;7;8;13;17;17;24;26;28;23;23;27;30;28;36;42;47;42;51;56;59;71;81
Leyla;45;20;11;20;18;20;21;21;23;26;24;28;27;30;21;17;20;21;32;39;47;57;59;68;79;81;91;;;;;;;;;;;;;;;;;88
Lina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;87;66;23;21
Lütfiye;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Makbule;27;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;80;84;55;42
Medine;82;98;93;85;82;87;85;86;95;95;99;;;;;;;98;;;;;;;;;;;59;8;7;10;16;17;26;24;34;44;53;66;74;80;99;
Mehtap;;;;68;69;60;58;59;59;60;67;72;69;67;87;97;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melahat;51;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melek;43;36;39;29;27;27;26;22;20;22;28;29;31;35;35;35;38;39;38;42;46;46;47;56;46;40;41;44;38;34;30;27;18;35;38;30;29;26;25;30;21;32;27;25
Meliha;38;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melike;;;;;;;;;;;71;66;62;56;56;51;45;38;26;22;24;22;22;18;9;14;18;17;17;26;32;36;14;24;39;42;50;67;73;80;84;90;93;
Melis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;88;76;78;86;65;88;97;91;100;;94
Melisa;;;;;;;;;;;;;;;;;;;;;;60;35;22;19;21;35;32;29;32;37;35;32;26;24;32;36;51;44;42;38;27;24;29
Meltem;;;;;;;;;;97;95;70;47;45;39;50;56;59;77;74;90;;;;;;;;;;;;;;;;;;;;;;;
Meral;;75;49;37;39;42;52;52;68;79;75;88;92;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merve;;;;;;;;;44;21;16;10;8;3;2;1;1;1;1;1;1;1;1;2;2;3;5;5;4;5;5;5;8;11;12;14;22;23;28;31;37;38;54;70
Meryem;8;7;9;13;14;14;15;15;15;16;18;20;24;27;27;25;24;24;27;27;26;26;28;29;30;37;31;26;16;13;16;16;23;14;16;13;12;11;12;12;12;7;11;12
Meva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;71
Mihriban;;;;;;;;;;;;;;;;;;99;95;99;;;;;;;;;;;;;;;;;;;;;;;;
Mila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;98;
Mina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;73;58;64;71;89;68;72;
Mine;;;;99;;;97;95;;;;;;91;92;;;;;;84;83;95;;;;;;;;;;;;;;;;;;;;;
Mira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;19;57;59;67;73;60;45
Miray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;72;44;8;4;5;7;10;13;14
Münevver;35;58;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
