num,Name,Year
5,Chloe,2002
516,Chloe,2002
8,Chloe,2003
412,Chloe,2003
8,Chloe,2004
453,Chloe,2004
8,Chloe,2005
440,Chloe,2005
14,Chloe,2006
375,Chloe,2006
15,Chloe,2007
388,Chloe,2007
9,Chloe,2008
453,Chloe,2008
10,Chloe,2009
411,Chloe,2009
9,Chloe,2010
441,Chloe,2010
9,Chloe,2011
437,Chloe,2011
15,Chloe,2012
345,Chloe,2012
13,Chloe,2013
346,Chloe,2013
14,Chloe,2014
328,Chloe,2014
9,Chloe,2015
362,Chloe,2015
17,Chloe,2016
288,Chloe,2016
10,Chloe,2017
304,Chloe,2017
18,Hannah,1998
236,Hannah,1998
21,Hannah,1999
242,Hannah,1999
15,Hannah,2000
299,Hannah,2000
15,Hannah,2001
343,Hannah,2001
12,Hannah,2002
368,Hannah,2002
13,Hannah,2003
340,Hannah,2003
16,Hannah,2004
340,Hannah,2004
16,Hannah,2005
350,Hannah,2005
16,Hannah,2006
357,Hannah,2006
13,Hannah,2007
407,Hannah,2007
15,Hannah,2008
390,Hannah,2008
23,Hannah,2009
321,Hannah,2009
22,Hannah,2010
333,Hannah,2010
17,Hannah,2011
349,Hannah,2011
13,Hannah,2012
368,Hannah,2012
14,Hannah,2013
340,Hannah,2013
13,Hannah,2014
337,Hannah,2014
12,Hannah,2015
338,Hannah,2015
9,Hannah,2016
351,Hannah,2016
7,Hannah,2017
338,Hannah,2017
22,Kate,1998
197,Kate,1998
19,Kate,1999
246,Kate,1999
18,Kate,2000
263,Kate,2000
22,Kate,2001
258,Kate,2001
18,Kate,2002
301,Kate,2002
17,Kate,2003
295,Kate,2003
14,Kate,2004
342,Kate,2004
22,Kate,2005
284,Kate,2005
23,Kate,2006
307,Kate,2006
10,Kate,2007
426,Kate,2007
10,Kate,2008
419,Kate,2008
13,Kate,2009
364,Kate,2009
19,Kate,2010
348,Kate,2010
15,Kate,2011
350,Kate,2011
18,Kate,2012
316,Kate,2012
15,Kate,2013
328,Kate,2013
18,Kate,2014
290,Kate,2014
17,Kate,2015
283,Kate,2015
14,Kate,2016
302,Kate,2016
16,Kate,2017
261,Kate,2017
192,Ruby,1998
17,Ruby,1998
245,Ruby,1999
12,Ruby,1999
207,Ruby,2000
16,Ruby,2000
168,Ruby,2001
23,Ruby,2001
170,Ruby,2002
23,Ruby,2002
120,Ruby,2003
42,Ruby,2003
121,Ruby,2004
41,Ruby,2004
58,Ruby,2005
99,Ruby,2005
41,Ruby,2006
158,Ruby,2006
34,Ruby,2007
222,Ruby,2007
21,Ruby,2008
305,Ruby,2008
17,Ruby,2009
353,Ruby,2009
23,Ruby,2010
325,Ruby,2010
20,Ruby,2011
323,Ruby,2011
20,Ruby,2012
302,Ruby,2012
16,Ruby,2013
317,Ruby,2013
22,Ruby,2014
265,Ruby,2014
27,Ruby,2015
211,Ruby,2015
32,Ruby,2016
186,Ruby,2016
33,Ruby,2017
169,Ruby,2017
214,Lily,1998
13,Lily,1998
202,Lily,1999
17,Lily,1999
142,Lily,2000
28,Lily,2000
91,Lily,2001
53,Lily,2001
85,Lily,2002
58,Lily,2002
75,Lily,2003
66,Lily,2003
59,Lily,2004
101,Lily,2004
52,Lily,2005
119,Lily,2005
42,Lily,2006
153,Lily,2006
28,Lily,2007
232,Lily,2007
29,Lily,2008
248,Lily,2008
20,Lily,2009
336,Lily,2009
14,Lily,2010
371,Lily,2010
5,Lily,2011
496,Lily,2011
5,Lily,2012
449,Lily,2012
17,Lily,2013
309,Lily,2013
11,Lily,2014
350,Lily,2014
11,Lily,2015
341,Lily,2015
10,Lily,2016
334,Lily,2016
13,Lily,2017
289,Lily,2017
13,Katie,1998
319,Katie,1998
13,Katie,1999
378,Katie,1999
12,Katie,2000
398,Katie,2000
9,Katie,2001
422,Katie,2001
7,Katie,2002
418,Katie,2002
5,Katie,2003
468,Katie,2003
2,Katie,2004
574,Katie,2004
3,Katie,2005
575,Katie,2005
3,Katie,2006
571,Katie,2006
