"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Alexandra","67","91","87","68","78","88","68","81","79","67","89","78","89","97","105","90","83","78","91","111","n/a","88"
"Amber","83","115","84","100","108","94","78","70","65","68","75","74","70","68","64","92","53","59","59","75","82","71"
"Cara","153","134","92","91","102","86","73","66","67","68","61","58","52","50","48","40","35","36","34","34","29","31"
"Sadhbh","103","188","104","103","94","75","86","73","76","70","66","68","64","56","61","67","44","53","57","61","52","37"
"Shannon","15","19","26","29","37","52","46","56","49","71","69","94","102","116","142","172","n/a","n/a","n/a","301","n/a","n/a"
"Isabella","304","211","245","219","131","151","108","93","64","72","64","70","51","51","50","44","41","46","62","48","41","52"
"Brooke","631","638","324","254","289","200","141","135","133","73","75","85","72","82","86","97","n/a","n/a","n/a","151","n/a","n/a"
"Eve","68","86","64","46","58","56","59","57","57","73","62","62","60","45","50","59","48","48","49","58","48","53"
"Abby","327","202","144","77","65","60","55","71","93","75","91","111","118","157","129","165","n/a","n/a","n/a","241","n/a","n/a"
"Orlaith","111","139","98","148","131","106","83","78","73","75","92","91","92","105","108","122","n/a","n/a","n/a","145","n/a","n/a"
"Victoria","97","82","89","100","83","79","82","116","100","77","106","97","95","94","79","92","89","91","90","89","n/a","n/a"
"Maeve","69","65","59","70","75","77","74","85","88","78","94","87","107","127","100","106","n/a","n/a","n/a","133","n/a","n/a"
"Alice","90","87","74","87","76","83","81","82","80","79","85","76","70","66","69","52","59","40","34","35","33","35"
"Zara","138","105","89","83","87","105","104","88","90","80","62","77","89","82","68","59","63","69","57","53","53","43"
"Sara","80","124","111","84","91","106","94","125","112","81","80","90","88","78","93","96","99","89","97","115","n/a","n/a"
"Aoibhinn","197","141","202","194","138","167","141","119","84","82","92","62","67","60","56","57","61","67","63","71","n/a","n/a"
"Aoibhín","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","68","69"
"Charlotte","126","119","95","87","91","72","76","67","70","82","68","72","69","62","63","47","62","58","43","42","39","45"
"Clara","111","90","89","107","102","80","113","93","80","84","83","82","94","90","86","68","71","71","65","73","74","59"
"Jasmine","134","141","117","123","106","112","121","150","87","84","120","103","118","116","121","143","n/a","n/a","n/a","165","n/a","n/a"
"Millie","631","440","378","498","238","212","181","127","123","84","88","91","86","72","57","47","47","62","59","54","51","50"
"Faye","276","238","140","133","123","91","98","106","74","87","77","60","56","49","43","49","52","44","47","50","46","47"
"Hazel","117","135","101","89","108","131","110","99","88","87","98","130","152","145","172","124","n/a","n/a","n/a","84","99","95"
"Isobel","175","92","127","97","131","106","114","88","106","89","81","82","81","97","125","114","n/a","n/a","n/a","158","n/a","n/a"
"Taylor","99","124","98","103","118","112","110","114","108","89","99","98","110","102","105","108","n/a","n/a","n/a","211","n/a","n/a"
"Aoibheann","163","141","132","139","182","120","129","113","76","91","71","79","76","69","59","76","77","83","80","67","80","79"
"Muireann","138","141","132","113","170","159","125","122","130","91","94","107","118","87","121","124","n/a","n/a","n/a","122","n/a","n/a"
"Alisha","220","188","174","154","112","124","114","91","82","93","81","128","127","140","132","185","n/a","n/a","n/a","189","n/a","n/a"
"Lara","153","139","98","117","80","102","102","127","113","93","146","123","102","101","114","95","98","97","93","91","91","n/a"
"Jennifer","28","33","36","39","34","43","54","63","72","95","85","100","97","120","157","136","n/a","n/a","n/a","211","n/a","n/a"
"Alex","236","202","152","117","146","151","93","103","82","96","133","128","164","150","295","227","n/a","n/a","n/a","272","n/a","n/a"
"Freya","631","356","324","278","331","263","205","130","123","97","109","67","63","60","49","38","36","33","36","29","26","22"
"Jane","64","68","79","78","78","70","79","65","94","97","119","106","107","124","132","119","n/a","n/a","n/a","126","n/a","n/a"
"Heather","94","115","127","112","93","83","114","97","91","99","146","263","251","266","280","424","n/a","n/a","n/a","324","n/a","n/a"
"Maya","425","393","245","204","229","233","146","181","137","99","103","87","83","74","80","70","64","66","55","71","65","55"
"Ruth","55","52","71","56","68","64","79","73","94","101","110","91","100","86","97","86","96","n/a","n/a","130","n/a","n/a"
"Grainne","56","49","52","66","71","68","57","103","86","102","87","139","158","145","184","165","n/a","n/a","n/a","233","n/a","n/a"
"Louise","36","45","53","50","48","56","69","76","92","103","103","115","127","162","237","232","n/a","n/a","n/a","301","n/a","n/a"
"Michaela","49","58","68","70","94","94","90","103","143","103","133","181","161","78","108","130","n/a","n/a","n/a","205","n/a","n/a"
"Michelle","42","39","48","62","61","77","94","84","108","103","99","119","120","185","151","207","n/a","n/a","n/a","260","n/a","n/a"
"Gemma","56","84","92","97","101","104","106","119","137","106","98","128","136","170","151","254","n/a","n/a","n/a","324","n/a","n/a"
"Alicia","212","211","230","148","114","106","105","88","100","107","94","143","94","107","151","138","n/a","n/a","n/a","184","n/a","n/a"
"Leona","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","579","n/a","n/a"
"Ailbhe","146","115","114","107","94","115","99","108","102","109","129","110","107","133","93","124","95","n/a","91","99","90","75"
"Alanna","73","87","86","86","80","66","66","79","84","110","84","103","105","129","118","157","n/a","n/a","n/a","152","n/a","n/a"
"Fiona","51","56","69","74","63","80","83","106","102","110","155","209","205","215","184","315","n/a","n/a","n/a","241","n/a","n/a"
"Maja","0","902","968","1099","797","657","671","876","225","110","73","53","54","57","60","71","73","91","n/a","122","n/a","n/a"
"Meabh","170","162","159","133","210","124","131","101","121","110","87","111","107","92","88","109","89","83","82","76","n/a","n/a"
"Alison","45","58","62","62","60","83","91","93","100","114","118","136","113","136","129","139","n/a","n/a","n/a","145","n/a","n/a"
"Catherine","51","51","60","54","58","71","64","83","99","114","106","126","169","113","126","112","n/a","n/a","n/a","184","n/a","n/a"
"Danielle","41","48","76","58","66","86","83","100","113","114","115","104","146","150","188","201","n/a","n/a","n/a","272","n/a","n/a"
"Lilly","0","440","672","608","512","279","224","171","151","114","102","109","77","78","75","86","76","80","84","95","85","n/a"
"Naomi","120","129","144","126","108","93","99","111","127","118","128","111","123","140","118","185","n/a","n/a","n/a","172","n/a","n/a"
"Nicola","62","74","84","107","118","128","135","171","154","118","124","143","184","185","213","207","n/a","n/a","n/a","365","n/a","n/a"
"Oliwia","0","0","0","0","0","0","0","389","256","120","103","79","122","129","136","172","n/a","n/a","n/a","289","n/a","n/a"
"Doireann","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","99"
"Lisa","47","47","47","55","55","64","91","93","97","121","153","192","196","150","199","254","n/a","n/a","n/a","341","n/a","n/a"
"Margaret","97","97","120","95","115","120","121","141","139","121","115","165","205","150","174","165","n/a","n/a","n/a","165","n/a","n/a"
"Sorcha","78","74","80","107","102","88","120","122","106","121","146","143","164","170","164","254","n/a","n/a","n/a","316","n/a","n/a"
"Georgia","106","96","87","81","128","120","141","111","102","127","132","150","107","109","104","104","91","100","87","80","85","83"
"Jodie","99","97","78","72","73","66","61","76","135","127","146","154","188","140","337","286","n/a","n/a","n/a","260","n/a","n/a"
"Layla","874","530","466","441","312","233","275","160","165","127","106","74","50","54","45","58","51","46","44","45","57","55"
"Andrea","83","66","72","85","85","91","152","109","123","131","146","134","153","185","180","185","n/a","n/a","n/a","396","n/a","n/a"
"Kelly","53","50","50","69","57","59","63","72","100","131","146","223","147","181","213","286","n/a","n/a","n/a","430","n/a","n/a"
"Annie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","75","83","81","74","73","66"
"Zuzanna","0","0","0","0","0","0","0","695","343","133","85","70","71","73","108","83","n/a","n/a","n/a","145","n/a","n/a"
"Evie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","124","84","110","67","54","39","24","31","29"
"Laoise","153","124","109","113","100","99","108","114","108","135","115","156","133","106","97","98","n/a","n/a","n/a","128","n/a","n/a"
"Leanne","44","52","76","56","74","80","94","1291","144","141","270","232","271","220","317","357","n/a","n/a","n/a","430","n/a","n/a"
"Alana","134","100","127","96","102","94","89","130","94","144","139","159","152","162","172","193","n/a","n/a","n/a","316","n/a","n/a"
"Chelsea","56","54","81","104","131","124","125","145","127","144","222","358","241","258","264","286","n/a","n/a","n/a","396","n/a","n/a"
"Claire","37","39","41","44","54","61","86","79","97","144","111","117","164","170","157","170","n/a","n/a","n/a","365","n/a","n/a"
"Emer","63","63","66","80","82","124","110","85","119","144","159","165","165","170","208","227","n/a","n/a","n/a","324","n/a","n/a"
"Sienna","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","80","81","71","71","52","70","81"
"Siobhan","50","76","74","65","87","100","97","116","127","144","194","156","183","170","199","216","n/a","n/a","n/a","396","n/a","n/a"
"Hayley","90","221","202","225","218","143","186","159","113","150","167","173","152","137","139","143","n/a","n/a","n/a","130","n/a","n/a"
"Natalia","874","902","0","750","621","834","409","455","225","150","78","86","81","107","93","103","97","n/a","n/a","154","n/a","n/a"
"Sofia","380","440","269","335","197","184","245","152","135","150","119","128","80","58","64","41","42","41","42","43","43","41"
"Madison","874","902","466","441","443","439","294","222","175","153","110","96","100","89","100","101","86","89","n/a","95","n/a","n/a"
"Casey","106","100","95","112","121","131","170","145","133","157","136","159","147","149","174","185","n/a","n/a","n/a","219","n/a","n/a"
"Jade","35","34","31","30","42","61","57","55","78","157","176","190","138","181","213","148","n/a","n/a","n/a","241","n/a","n/a"
"Kathleen","120","99","102","131","117","132","135","214","144","163","161","204","194","220","221","232","n/a","n/a","n/a","219","n/a","n/a"
"Daisy","345","393","466","335","254","220","219","195","175","164","158","97","72","100","91","112","n/a","n/a","89","95","72","99"
"Hollie","166","158","195","119","115","126","114","109","119","164","143","95","99","104","77","79","94","94","n/a","115","n/a","89"
"Rose","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","113","100","74","85","75","77","65","68","79"
"Julie","90","111","120","168","121","132","131","138","161","170","136","159","158","240","193","193","n/a","n/a","n/a","211","n/a","n/a"
"Melissa","99","84","122","129","138","189","135","125","139","170","169","203","184","166","164","241","n/a","n/a","n/a","205","n/a","n/a"
"Natasha","78","71","97","104","112","132","114","130","139","170","184","219","191","306","337","424","n/a","n/a","n/a","651","n/a","n/a"
"Erica","81","105","124","123","130","151","135","129","144","177","184","223","205","n/a","244","181","n/a","n/a","n/a","471","n/a","n/a"
"Rachael","60","71","69","79","89","102","106","152","144","177","189","272","228","359","n/a","374","n/a","n/a","n/a","n/a","n/a","n/a"
"Stephanie","69","78","92","91","94","90","161","181","151","182","161","215","160","220","295","265","n/a","n/a","n/a","272","n/a","n/a"
"Emilia","0","0","672","400","406","560","409","374","181","189","128","97","92","91","74","72","57","64","59","63","62","70"
"Amelie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","120","93","148","n/a","n/a","n/a","189","n/a","n/a"
"Claudia","106","141","144","97","153","162","166","165","214","196","222","236","251","465","264","315","n/a","n/a","n/a","289","n/a","n/a"
"Kellie","122","111","163","91","141","114","161","185","187","202","381","403","351","393","435","374","n/a","n/a","n/a","734","n/a","n/a"
"Lena","499","322","378","369","352","403","341","456","298","212","189","119","83","85","71","78","79","78","n/a","85","n/a","n/a"
"Aishling","117","93","159","194","153","162","196","214","192","215","381","532","468","393","n/a","660","n/a","n/a","n/a","n/a","n/a","n/a"
"Cliona","83","127","142","154","123","179","176","145","199","215","281","181","177","203","317","374","n/a","n/a","n/a","471","n/a","n/a"
"Nadine","75","149","104","143","89","68","131","165","171","215","199","203","255","266","510","459","n/a","n/a","n/a","734","n/a","n/a"
"Courtney","43","44","53","82","83","94","114","152","161","222","179","312","267","266","n/a","459","n/a","n/a","n/a","n/a","n/a","n/a"
"Hanna","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","111","97","86","88","86","n/a","91","96","99"
"Karen","69","87","82","113","176","132","181","251","389","233","288","356","468","465","510","660","n/a","n/a","n/a","471","n/a","n/a"
"Mollie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","92","n/a","n/a","94","99","n/a","n/a"
"Rosie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","91","87","91","65","58"
"Matilda","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97","106","n/a","n/a"
"Heidi","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","82","82","94","74"
"Kim","94","111","159","196","148","247","219","251","320","251","660","437","351","510","435","747","n/a","n/a","n/a","n/a","n/a","n/a"
"Poppy","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","90","100","n/a","n/a","106","n/a","n/a"
"Sadie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","77","39","32","31","22","19","25"
"Mairead","99","115","124","162","197","233","205","165","192","307","281","232","393","220","414","315","n/a","n/a","n/a","471","n/a","n/a"
"Zoey","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97","145","n/a","n/a"
"Lorna","90","93","111","100","123","167","146","160","175","326","230","331","245","437","612","587","n/a","n/a","n/a","430","n/a","n/a"
"Lexi","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","96","89","56","82","94","n/a","108","n/a","n/a"
"Ada","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70","57"
"Bonnie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","91","72"
"Willow","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","72","77","50","43"
"Annabelle","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","86","n/a","111","n/a","n/a"
"Isla","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","84","73","53","40","37","34"
"Lauryn","236","70","45","123","120","179","224","165","214","404","210","466","437","393","337","399","n/a","n/a","n/a","873","n/a","n/a"
"Maisie","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","102","100","122","n/a","82","75","68","75","59"
"Fiadh","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","82","80","35","24","21","10","3"
"Elaine","77","111","111","194","176","167","186","209","282","549","281","329","437","414","612","491","n/a","n/a","n/a","651","n/a","n/a"
"Ivy","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","84","78"
"Bella","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","85","75"
"Aria","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97","81","60","65"
"Harper","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","65","56","53","66"
"Mila","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88","84","104","67","72"
"Aoibhin","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","68","n/a","n/a"
"Nina","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","99","n/a","n/a"
"Evelyn","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","95","94","96"
"Esme","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","99","n/a","n/a"
"Méabh","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","87"
"Pippa","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","89","77","n/a"
