num,Name,Year,Statistic
3,Adam,2003,Rank of Name in Ireland  (Number)
787,Adam,2003,Registered Births in Ireland (Number)
4,Adam,2004,Rank of Name in Ireland  (Number)
688,Adam,2004,Registered Births in Ireland (Number)
3,Adam,2005,Rank of Name in Ireland  (Number)
710,Adam,2005,Registered Births in Ireland (Number)
4,Adam,2006,Rank of Name in Ireland  (Number)
693,Adam,2006,Registered Births in Ireland (Number)
6,Adam,2007,Rank of Name in Ireland  (Number)
659,Adam,2007,Registered Births in Ireland (Number)
7,Adam,2008,Rank of Name in Ireland  (Number)
645,Adam,2008,Registered Births in Ireland (Number)
7,Adam,2009,Rank of Name in Ireland  (Number)
611,Adam,2009,Registered Births in Ireland (Number)
7,Adam,2010,Rank of Name in Ireland  (Number)
568,Adam,2010,Registered Births in Ireland (Number)
7,Adam,2011,Rank of Name in Ireland  (Number)
637,Adam,2011,Registered Births in Ireland (Number)
6,Adam,2012,Rank of Name in Ireland  (Number)
558,Adam,2012,Registered Births in Ireland (Number)
6,Adam,2013,Rank of Name in Ireland  (Number)
518,Adam,2013,Registered Births in Ireland (Number)
6,Adam,2014,Rank of Name in Ireland  (Number)
493,Adam,2014,Registered Births in Ireland (Number)
6,Adam,2015,Rank of Name in Ireland  (Number)
449,Adam,2015,Registered Births in Ireland (Number)
7,Adam,2016,Rank of Name in Ireland  (Number)
400,Adam,2016,Registered Births in Ireland (Number)
9,Adam,2017,Rank of Name in Ireland  (Number)
389,Adam,2017,Registered Births in Ireland (Number)
16,Ryan,1998,Rank of Name in Ireland  (Number)
326,Ryan,1998,Registered Births in Ireland (Number)
13,Ryan,1999,Rank of Name in Ireland  (Number)
418,Ryan,1999,Registered Births in Ireland (Number)
17,Ryan,2000,Rank of Name in Ireland  (Number)
356,Ryan,2000,Registered Births in Ireland (Number)
18,Ryan,2001,Rank of Name in Ireland  (Number)
349,Ryan,2001,Registered Births in Ireland (Number)
14,Ryan,2002,Rank of Name in Ireland  (Number)
365,Ryan,2002,Registered Births in Ireland (Number)
12,Ryan,2003,Rank of Name in Ireland  (Number)
425,Ryan,2003,Registered Births in Ireland (Number)
13,Ryan,2004,Rank of Name in Ireland  (Number)
451,Ryan,2004,Registered Births in Ireland (Number)
12,Ryan,2005,Rank of Name in Ireland  (Number)
432,Ryan,2005,Registered Births in Ireland (Number)
14,Ryan,2006,Rank of Name in Ireland  (Number)
431,Ryan,2006,Registered Births in Ireland (Number)
7,Ryan,2007,Rank of Name in Ireland  (Number)
553,Ryan,2007,Registered Births in Ireland (Number)
6,Ryan,2008,Rank of Name in Ireland  (Number)
670,Ryan,2008,Registered Births in Ireland (Number)
6,Ryan,2009,Rank of Name in Ireland  (Number)
633,Ryan,2009,Registered Births in Ireland (Number)
6,Ryan,2010,Rank of Name in Ireland  (Number)
662,Ryan,2010,Registered Births in Ireland (Number)
6,Ryan,2011,Rank of Name in Ireland  (Number)
685,Ryan,2011,Registered Births in Ireland (Number)
7,Ryan,2012,Rank of Name in Ireland  (Number)
510,Ryan,2012,Registered Births in Ireland (Number)
7,Ryan,2013,Rank of Name in Ireland  (Number)
459,Ryan,2013,Registered Births in Ireland (Number)
16,Ryan,2014,Rank of Name in Ireland  (Number)
373,Ryan,2014,Registered Births in Ireland (Number)
18,Ryan,2015,Rank of Name in Ireland  (Number)
329,Ryan,2015,Registered Births in Ireland (Number)
19,Ryan,2016,Rank of Name in Ireland  (Number)
318,Ryan,2016,Registered Births in Ireland (Number)
24,Ryan,2017,Rank of Name in Ireland  (Number)
260,Ryan,2017,Registered Births in Ireland (Number)
9,Michael,1998,Rank of Name in Ireland  (Number)
438,Michael,1998,Registered Births in Ireland (Number)
6,Michael,1999,Rank of Name in Ireland  (Number)
527,Michael,1999,Registered Births in Ireland (Number)
9,Michael,2000,Rank of Name in Ireland  (Number)
483,Michael,2000,Registered Births in Ireland (Number)
10,Michael,2001,Rank of Name in Ireland  (Number)
483,Michael,2001,Registered Births in Ireland (Number)
8,Michael,2002,Rank of Name in Ireland  (Number)
520,Michael,2002,Registered Births in Ireland (Number)
7,Michael,2003,Rank of Name in Ireland  (Number)
525,Michael,2003,Registered Births in Ireland (Number)
9,Michael,2004,Rank of Name in Ireland  (Number)
527,Michael,2004,Registered Births in Ireland (Number)
10,Michael,2005,Rank of Name in Ireland  (Number)
484,Michael,2005,Registered Births in Ireland (Number)
9,Michael,2006,Rank of Name in Ireland  (Number)
509,Michael,2006,Registered Births in Ireland (Number)
10,Michael,2007,Rank of Name in Ireland  (Number)
521,Michael,2007,Registered Births in Ireland (Number)
13,Michael,2008,Rank of Name in Ireland  (Number)
483,Michael,2008,Registered Births in Ireland (Number)
8,Michael,2009,Rank of Name in Ireland  (Number)
499,Michael,2009,Registered Births in Ireland (Number)
12,Michael,2010,Rank of Name in Ireland  (Number)
455,Michael,2010,Registered Births in Ireland (Number)
9,Michael,2011,Rank of Name in Ireland  (Number)
496,Michael,2011,Registered Births in Ireland (Number)
10,Michael,2012,Rank of Name in Ireland  (Number)
462,Michael,2012,Registered Births in Ireland (Number)
8,Michael,2013,Rank of Name in Ireland  (Number)
432,Michael,2013,Registered Births in Ireland (Number)
14,Michael,2014,Rank of Name in Ireland  (Number)
379,Michael,2014,Registered Births in Ireland (Number)
8,Michael,2015,Rank of Name in Ireland  (Number)
434,Michael,2015,Registered Births in Ireland (Number)
9,Michael,2016,Rank of Name in Ireland  (Number)
394,Michael,2016,Registered Births in Ireland (Number)
10,Michael,2017,Rank of Name in Ireland  (Number)
359,Michael,2017,Registered Births in Ireland (Number)
100,Harry,1998,Rank of Name in Ireland  (Number)
42,Harry,1998,Registered Births in Ireland (Number)
70,Harry,1999,Rank of Name in Ireland  (Number)
86,Harry,1999,Registered Births in Ireland (Number)
63,Harry,2000,Rank of Name in Ireland  (Number)
95,Harry,2000,Registered Births in Ireland (Number)
56,Harry,2001,Rank of Name in Ireland  (Number)
115,Harry,2001,Registered Births in Ireland (Number)
68,Harry,2002,Rank of Name in Ireland  (Number)
98,Harry,2002,Registered Births in Ireland (Number)
56,Harry,2003,Rank of Name in Ireland  (Number)
118,Harry,2003,Registered Births in Ireland (Number)
56,Harry,2004,Rank of Name in Ireland  (Number)
137,Harry,2004,Registered Births in Ireland (Number)
50,Harry,2005,Rank of Name in Ireland  (Number)
150,Harry,2005,Registered Births in Ireland (Number)
41,Harry,2006,Rank of Name in Ireland  (Number)
193,Harry,2006,Registered Births in Ireland (Number)
31,Harry,2007,Rank of Name in Ireland  (Number)
251,Harry,2007,Registered Births in Ireland (Number)
31,Harry,2008,Rank of Name in Ireland  (Number)
276,Harry,2008,Registered Births in Ireland (Number)
28,Harry,2009,Rank of Name in Ireland  (Number)
302,Harry,2009,Registered Births in Ireland (Number)
20,Harry,2010,Rank of Name in Ireland  (Number)
359,Harry,2010,Registered Births in Ireland (Number)
8,Harry,2011,Rank of Name in Ireland  (Number)
499,Harry,2011,Registered Births in Ireland (Number)
7,Harry,2012,Rank of Name in Ireland  (Number)
510,Harry,2012,Registered Births in Ireland (Number)
9,Harry,2013,Rank of Name in Ireland  (Number)
430,Harry,2013,Registered Births in Ireland (Number)
9,Harry,2014,Rank of Name in Ireland  (Number)
398,Harry,2014,Registered Births in Ireland (Number)
14,Harry,2015,Rank of Name in Ireland  (Number)
358,Harry,2015,Registered Births in Ireland (Number)
11,Harry,2016,Rank of Name in Ireland  (Number)
374,Harry,2016,Registered Births in Ireland (Number)
8,Harry,2017,Rank of Name in Ireland  (Number)
410,Harry,2017,Registered Births in Ireland (Number)
328,Noah,1998,Rank of Name in Ireland  (Number)
0,Noah,1998,Registered Births in Ireland (Number)
213,Noah,1999,Rank of Name in Ireland  (Number)
9,Noah,1999,Registered Births in Ireland (Number)
252,Noah,2000,Rank of Name in Ireland  (Number)
7,Noah,2000,Registered Births in Ireland (Number)
176,Noah,2001,Rank of Name in Ireland  (Number)
18,Noah,2001,Registered Births in Ireland (Number)
148,Noah,2002,Rank of Name in Ireland  (Number)
26,Noah,2002,Registered Births in Ireland (Number)
132,Noah,2003,Rank of Name in Ireland  (Number)
33,Noah,2003,Registered Births in Ireland (Number)
79,Noah,2004,Rank of Name in Ireland  (Number)
83,Noah,2004,Registered Births in Ireland (Number)
61,Noah,2005,Rank of Name in Ireland  (Number)
123,Noah,2005,Registered Births in Ireland (Number)
49,Noah,2006,Rank of Name in Ireland  (Number)
158,Noah,2006,Registered Births in Ireland (Number)
49,Noah,2007,Rank of Name in Ireland  (Number)
163,Noah,2007,Registered Births in Ireland (Number)
46,Noah,2008,Rank of Name in Ireland  (Number)
181,Noah,2008,Registered Births in Ireland (Number)
41,Noah,2009,Rank of Name in Ireland  (Number)
210,Noah,2009,Registered Births in Ireland (Number)
26,Noah,2010,Rank of Name in Ireland  (Number)
313,Noah,2010,Registered Births in Ireland (Number)
23,Noah,2011,Rank of Name in Ireland  (Number)
333,Noah,2011,Registered Births in Ireland (Number)
19,Noah,2012,Rank of Name in Ireland  (Number)
390,Noah,2012,Registered Births in Ireland (Number)
10,Noah,2013,Rank of Name in Ireland  (Number)
418,Noah,2013,Registered Births in Ireland (Number)
8,Noah,2014,Rank of Name in Ireland  (Number)
434,Noah,2014,Registered Births in Ireland (Number)
7,Noah,2015,Rank of Name in Ireland  (Number)
438,Noah,2015,Registered Births in Ireland (Number)
6,Noah,2016,Rank of Name in Ireland  (Number)
446,Noah,2016,Registered Births in Ireland (Number)
6,Noah,2017,Rank of Name in Ireland  (Number)
442,Noah,2017,Registered Births in Ireland (Number)
17,Thomas,1998,Rank of Name in Ireland  (Number)
306,Thomas,1998,Registered Births in Ireland (Number)
19,Thomas,1999,Rank of Name in Ireland  (Number)
332,Thomas,1999,Registered Births in Ireland (Number)
18,Thomas,2000,Rank of Name in Ireland  (Number)
351,Thomas,2000,Registered Births in Ireland (Number)
14,Thomas,2001,Rank of Name in Ireland  (Number)
377,Thomas,2001,Registered Births in Ireland (Number)
18,Thomas,2002,Rank of Name in Ireland  (Number)
349,Thomas,2002,Registered Births in Ireland (Number)
14,Thomas,2003,Rank of Name in Ireland  (Number)
375,Thomas,2003,Registered Births in Ireland (Number)
20,Thomas,2004,Rank of Name in Ireland  (Number)
371,Thomas,2004,Registered Births in Ireland (Number)
16,Thomas,2005,Rank of Name in Ireland  (Number)
397,Thomas,2005,Registered Births in Ireland (Number)
13,Thomas,2006,Rank of Name in Ireland  (Number)
432,Thomas,2006,Registered Births in Ireland (Number)
14,Thomas,2007,Rank of Name in Ireland  (Number)
440,Thomas,2007,Registered Births in Ireland (Number)
19,Thomas,2008,Rank of Name in Ireland  (Number)
432,Thomas,2008,Registered Births in Ireland (Number)
18,Thomas,2009,Rank of Name in Ireland  (Number)
408,Thomas,2009,Registered Births in Ireland (Number)
22,Thomas,2010,Rank of Name in Ireland  (Number)
341,Thomas,2010,Registered Births in Ireland (Number)
18,Thomas,2011,Rank of Name in Ireland  (Number)
403,Thomas,2011,Registered Births in Ireland (Number)
17,Thomas,2012,Rank of Name in Ireland  (Number)
403,Thomas,2012,Registered Births in Ireland (Number)
11,Thomas,2013,Rank of Name in Ireland  (Number)
412,Thomas,2013,Registered Births in Ireland (Number)
17,Thomas,2014,Rank of Name in Ireland  (Number)
362,Thomas,2014,Registered Births in Ireland (Number)
11,Thomas,2015,Rank of Name in Ireland  (Number)
379,Thomas,2015,Registered Births in Ireland (Number)
15,Thomas,2016,Rank of Name in Ireland  (Number)
328,Thomas,2016,Registered Births in Ireland (Number)
19,Thomas,2017,Rank of Name in Ireland  (Number)
291,Thomas,2017,Registered Births in Ireland (Number)
59,Alex,1998,Rank of Name in Ireland  (Number)
93,Alex,1998,Registered Births in Ireland (Number)
57,Alex,1999,Rank of Name in Ireland  (Number)
112,Alex,1999,Registered Births in Ireland (Number)
48,Alex,2000,Rank of Name in Ireland  (Number)
150,Alex,2000,Registered Births in Ireland (Number)
45,Alex,2001,Rank of Name in Ireland  (Number)
160,Alex,2001,Registered Births in Ireland (Number)
35,Alex,2002,Rank of Name in Ireland  (Number)
193,Alex,2002,Registered Births in Ireland (Number)
29,Alex,2003,Rank of Name in Ireland  (Number)
268,Alex,2003,Registered Births in Ireland (Number)
26,Alex,2004,Rank of Name in Ireland  (Number)
322,Alex,2004,Registered Births in Ireland (Number)
24,Alex,2005,Rank of Name in Ireland  (Number)
336,Alex,2005,Registered Births in Ireland (Number)
23,Alex,2006,Rank of Name in Ireland  (Number)
367,Alex,2006,Registered Births in Ireland (Number)
20,Alex,2007,Rank of Name in Ireland  (Number)
401,Alex,2007,Registered Births in Ireland (Number)
10,Alex,2008,Rank of Name in Ireland  (Number)
501,Alex,2008,Registered Births in Ireland (Number)
9,Alex,2009,Rank of Name in Ireland  (Number)
496,Alex,2009,Registered Births in Ireland (Number)
8,Alex,2010,Rank of Name in Ireland  (Number)
540,Alex,2010,Registered Births in Ireland (Number)
10,Alex,2011,Rank of Name in Ireland  (Number)
492,Alex,2011,Registered Births in Ireland (Number)
18,Alex,2012,Rank of Name in Ireland  (Number)
392,Alex,2012,Registered Births in Ireland (Number)
12,Alex,2013,Rank of Name in Ireland  (Number)
406,Alex,2013,Registered Births in Ireland (Number)
12,Alex,2014,Rank of Name in Ireland  (Number)
383,Alex,2014,Registered Births in Ireland (Number)
13,Alex,2015,Rank of Name in Ireland  (Number)
361,Alex,2015,Registered Births in Ireland (Number)
17,Alex,2016,Rank of Name in Ireland  (Number)
320,Alex,2016,Registered Births in Ireland (Number)
12,Alex,2017,Rank of Name in Ireland  (Number)
347,Alex,2017,Registered Births in Ireland (Number)
15,Luke,1998,Rank of Name in Ireland  (Number)
327,Luke,1998,Registered Births in Ireland (Number)
14,Luke,1999,Rank of Name in Ireland  (Number)
410,Luke,1999,Registered Births in Ireland (Number)
8,Luke,2000,Rank of Name in Ireland  (Number)
488,Luke,2000,Registered Births in Ireland (Number)
9,Luke,2001,Rank of Name in Ireland  (Number)
517,Luke,2001,Registered Births in Ireland (Number)
10,Luke,2002,Rank of Name in Ireland  (Number)
489,Luke,2002,Registered Births in Ireland (Number)
11,Luke,2003,Rank of Name in Ireland  (Number)
474,Luke,2003,Registered Births in Ireland (Number)
8,Luke,2004,Rank of Name in Ireland  (Number)
544,Luke,2004,Registered Births in Ireland (Number)
8,Luke,2005,Rank of Name in Ireland  (Number)
544,Luke,2005,Registered Births in Ireland (Number)
7,Luke,2006,Rank of Name in Ireland  (Number)
536,Luke,2006,Registered Births in Ireland (Number)
8,Luke,2007,Rank of Name in Ireland  (Number)
538,Luke,2007,Registered Births in Ireland (Number)
9,Luke,2008,Rank of Name in Ireland  (Number)
516,Luke,2008,Registered Births in Ireland (Number)
10,Luke,2009,Rank of Name in Ireland  (Number)
