,,,,,,,,,,,,,,,,,,,,,,,
Flickors tilltalsnamn 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Girls' first names 1998-2020,,,,,,,,,,,,,,,,,,,,,,,
Tabellen visar i alfabetisk ordning alla tilltalsnamn som getts till minst 10 flickor under något av åren.,,,,,,,,,,,,,,,,,,,,,,,
Varje stavning redovisas som ett eget namn.  - = färre än 10.,,,,,,,,,,,,,,,,,,,,,,,
The table includes an alphabetical list of all 'usual' given names assigned to more than ten girls for at least part of the period.,,,,,,,,,,,,,,,,,,,,,,,
Every spelling variation is counted as a name in its own right. The symbol '-' indicates that fewer than 10 girls were given the name.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Namn / Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Amani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-
Amber,-,-,-,-,-,-,11,13,-,-,-,-,11,-,12,-,-,-,-,10,-,-,-
Amela,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amelia,68,37,23,28,34,27,40,115,149,101,69,78,84,99,87,105,135,144,161,203,206,203,183
Amelie,22,17,20,23,32,43,44,56,57,42,45,49,54,52,54,64,61,44,51,38,51,31,23
Amélie,-,-,-,-,-,-,-,11,-,11,-,11,11,14,17,12,29,16,12,14,-,11,15
Amen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,13
Amie,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,12,-,-,12,-,10,12,13
Amilia,-,-,-,-,12,11,-,20,16,16,18,13,23,21,28,22,22,15,14,20,15,12,19
Amina,37,30,33,40,37,41,43,32,56,49,44,61,68,60,56,84,59,90,84,83,74,69,90
Amira,-,10,-,-,17,-,21,14,14,23,17,16,29,30,45,42,57,50,59,50,67,88,68
Amirah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
Amna,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,10,13,-,10,-,12
Amy,15,11,14,19,19,26,16,26,28,28,20,29,19,28,29,20,30,28,28,32,26,20,22
Ana,-,-,-,-,-,-,-,-,-,-,12,-,10,-,-,-,-,-,11,-,-,-,11
Anabelle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-
Anastasia,22,10,12,20,14,15,27,19,22,13,24,13,13,21,29,27,26,25,25,29,43,29,40
Anastasija,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,-,-,-,-,-,-,11
Anaya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,12
Andrea,97,83,102,97,84,98,78,60,51,55,49,35,34,46,42,23,32,29,39,32,29,27,26
Andréa,13,10,15,15,16,17,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angela,13,12,-,14,18,16,20,-,19,-,20,17,21,18,23,14,19,20,14,-,10,20,11
Angelica,112,94,64,73,72,64,44,45,40,43,37,30,30,19,25,11,15,19,-,-,12,13,11
Angelika,18,13,14,10,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angelina,20,-,14,31,41,58,56,99,149,111,112,106,104,86,105,70,65,73,57,45,49,39,40
Angeline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
Anisa,-,-,11,-,-,-,-,-,-,11,11,16,17,16,16,14,12,13,-,20,19,-,10
Anita,-,-,10,12,-,11,-,-,13,-,-,-,11,-,-,11,-,-,-,10,12,-,-
Anja,21,26,29,36,36,45,32,25,29,33,22,28,23,19,-,14,16,17,26,23,22,26,13
Anna,536,504,471,435,437,432,351,294,293,246,177,168,162,152,136,127,121,125,109,104,86,85,102
Annabella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,-,-
Annabelle,-,-,-,-,-,-,-,-,-,-,-,-,11,-,17,15,12,19,18,18,12,18,11
Anni,-,-,-,-,-,10,-,-,-,11,13,-,-,16,11,14,11,-,-,12,-,-,-
Annie,143,137,118,157,121,132,123,128,109,119,115,104,128,117,124,99,96,111,90,70,69,55,66
Annika,37,26,14,19,-,11,11,13,16,11,-,-,12,13,-,-,12,-,-,-,-,11,-
Antonia,24,26,22,22,33,22,22,23,30,26,23,16,21,22,21,16,19,21,23,17,20,24,16
Anya,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,12,10,-,-,-
Aprilia,-,-,-,-,-,-,-,13,11,-,11,-,10,-,-,-,-,-,-,-,-,-,-
Aria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,15,12,20,14,20
Ariam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,13
Ariana,-,-,-,-,-,-,-,-,-,-,-,-,14,-,14,18,14,34,40,31,28,23,25
Ariel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,10,-,-
Arin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,12,-,-,-,-
Arina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-
Arsema,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,19,12,24,19
Arwa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
Arwen,-,-,-,-,-,-,-,-,-,11,-,14,-,10,-,14,-,-,-,-,-,-,-
Arya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14,17,25,15
Aseel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,12,16
Asia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,11,10,-,12
Asil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Asiya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,13,11,13,-,18,18
Asiyah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Asja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-
Asma,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,13,17,15,16,10,-,12,-
Asra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,12
Asta,-,-,-,-,-,15,13,12,15,13,12,23,17,13,24,19,30,23,23,23,21,36,41
Astrid,101,94,126,109,123,149,163,169,242,262,306,395,441,418,459,439,454,491,543,571,564,625,605
Asya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-
Athena,-,-,-,-,-,-,-,-,-,10,-,10,-,-,10,10,12,12,29,26,16,34,23
Aurelia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,11
Aurora,10,-,-,18,17,16,25,24,27,25,26,28,35,29,47,46,58,65,74,81,96,86,105
Ava,-,-,-,11,-,10,13,-,19,26,26,25,35,30,38,54,53,49,55,88,80,78,84
Awa,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,16,-
Avin,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
Aya,12,-,17,20,16,17,26,18,30,24,29,39,32,38,35,37,33,40,44,66,46,45,43
Ayah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,15,12
Ayan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-
Ayana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,11
Ayat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,10
Ayesha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,11,-
Ayla,-,-,-,-,-,11,10,13,14,13,10,20,16,16,18,28,37,48,40,59,48,82,107
Aylin,-,-,-,-,-,10,11,-,11,17,14,26,18,19,23,34,61,63,64,60,59,81,82
Aysha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
Azra,-,-,-,-,-,-,13,-,-,-,10,-,-,11,10,12,12,13,13,-,14,14,13
Barin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-
Basma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-
Bea,-,-,13,-,-,13,-,16,10,15,10,14,-,-,-,-,-,-,-,-,-,-,-
Beata,16,21,37,23,23,24,24,18,17,15,26,14,20,21,12,13,-,12,-,11,-,-,-
Beatrice,81,84,64,52,61,48,33,36,39,37,48,37,33,35,25,36,26,27,30,21,18,20,22
Belinda,-,12,18,12,-,15,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Bella,-,-,10,15,21,32,37,51,61,63,65,59,86,92,93,96,92,93,92,89,97,132,100
Belle,-,-,-,-,-,-,-,-,-,-,-,11,14,18,15,30,53,61,85,94,146,114,130
Benin,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-
Berfin,-,12,12,10,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-
Betiel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Betty,-,13,10,-,-,-,11,10,11,12,12,30,29,31,33,44,34,39,42,37,36,39,30
Bianca,32,37,42,56,61,62,64,76,90,85,85,91,98,108,109,92,117,134,138,178,222,183,124
Bibbi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,11,11,-,-,10,11
Bibi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,12,10
Billie,-,-,-,-,-,-,-,-,-,-,-,-,10,19,17,34,28,37,36,29,45,52,76
Bim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Blanca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,16
Blanka,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-,10,-,-,-,10,-,-
Blenda,-,-,-,-,-,14,11,19,12,11,-,-,-,-,-,-,-,-,-,-,-,10,-
Bodil,-,-,-,-,-,-,-,-,-,-,-,-,-,14,12,18,11,15,22,20,28,29,24
Boel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,15,13,13,15
Bonnie,-,-,-,-,-,-,-,-,-,-,-,28,32,49,53,54,47,68,68,109,90,134,190
Brita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
Britta,-,-,-,-,-,-,-,-,12,10,-,-,10,-,18,14,13,11,11,-,12,15,13
Bushra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-
Caisa,-,12,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cajsa,76,68,82,72,67,64,65,43,42,26,29,35,29,22,22,13,16,12,-,15,-,12,-
Camilla,51,26,32,23,21,26,14,16,15,11,13,14,-,10,-,-,10,10,10,-,-,-,-
Carla,-,-,-,-,-,-,13,12,24,15,13,17,16,17,20,21,25,26,16,21,24,17,18
Carmen,-,-,-,-,10,-,-,10,-,11,-,-,13,10,-,-,12,-,13,-,-,-,11
Carolin,13,14,10,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carolina,103,96,69,63,52,54,36,34,40,23,27,21,24,14,14,10,13,-,-,-,-,-,-
Caroline,240,187,132,122,109,75,63,43,36,41,27,20,30,15,17,12,13,15,16,19,11,11,-
Casandra,10,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cassandra,84,88,90,74,73,81,87,64,73,69,64,46,63,48,41,45,28,31,30,25,23,24,20
Cataleya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,15,27,23,27,31
Catalina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-
Cecilia,150,147,128,125,107,86,88,58,79,66,60,55,48,45,44,48,45,37,24,19,28,24,18
Celeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,12,10,11
Celia,-,-,-,-,-,-,-,-,-,11,-,-,13,-,16,13,-,-,13,13,15,20,21
Celie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Celin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10
Celina,27,26,28,24,26,34,20,21,21,22,20,16,18,25,31,36,34,27,31,37,40,25,39
Celine,37,35,43,38,31,39,42,36,42,37,40,56,62,68,70,66,102,111,138,135,128,152,174
Céline,16,17,-,-,-,-,11,-,-,-,-,-,11,-,21,28,41,59,83,82,91,69,68
Chanel,-,-,-,-,-,-,-,12,12,13,-,-,19,21,23,22,21,29,17,14,11,10,-
Chanelle,-,-,-,-,-,-,-,10,-,11,-,21,10,-,14,-,17,-,-,-,-,-,-
Charlie,-,-,-,-,-,-,-,-,-,-,-,13,29,34,51,62,67,70,72,58,52,45,73
Charlotta,20,16,14,12,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Charlotte,24,30,36,21,14,16,14,14,12,12,-,14,14,13,10,11,10,13,19,10,17,12,-
Chelsea,-,-,-,-,-,-,-,-,-,-,-,13,-,-,16,11,18,14,-,11,-,12,-
Chloe,-,-,-,-,-,-,-,-,-,-,16,10,16,24,21,13,23,27,30,41,35,34,29
Chloé,-,-,-,-,-,-,-,-,-,-,-,13,19,13,26,33,22,24,38,41,33,58,45
Christelle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,16,-,18
Christina,23,20,21,22,19,14,18,11,18,17,17,14,15,18,13,-,-,13,14,12,17,-,-
Christine,20,19,14,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cindy,10,-,-,-,-,11,-,-,-,12,12,13,16,13,11,12,10,10,13,-,-,-,-
Clara,252,273,256,335,340,338,351,330,327,302,302,236,253,245,232,265,278,262,259,285,269,305,304
Claudia,35,34,37,38,33,39,16,19,17,18,13,15,21,20,16,14,18,14,15,-,13,13,10
Cleo,-,-,-,-,-,-,-,-,-,-,-,17,15,11,17,23,25,40,156,153,167,171,215
Corinne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,11,-,-,-,14,20
Cornelia,190,232,213,188,198,197,181,280,262,214,225,234,191,195,180,220,210,163,156,188,135,134,155
Dagmar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,12,10
Dagny,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,13,26,14,-,15,14,-
Dahlia,-,-,-,-,-,-,-,-,-,-,-,13,12,10,18,18,24,25,34,27,23,29,30
Daisy,-,-,-,-,-,-,-,-,-,10,17,20,14,11,14,27,24,10,23,17,20,15,18
Dalia,-,-,13,14,-,14,16,14,-,11,11,10,24,18,18,19,27,22,18,15,20,18,20
Dana,-,-,-,-,11,-,12,-,-,14,12,11,12,11,11,-,11,15,10,16,-,12,-
Dania,-,-,-,-,-,-,-,13,-,16,19,17,11,22,18,-,17,15,13,12,14,12,11
Daniela,35,23,27,19,20,20,21,21,25,17,16,17,13,10,12,-,14,-,-,-,-,-,10
Daniella,70,75,56,58,58,70,49,53,49,46,30,37,38,35,31,29,29,28,32,28,24,17,22
Daphne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-
Daria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,13,-,-
Dea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,10,-,-,12,10
Deborah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Delina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,12,11,-,10
Denice,11,-,14,13,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denise,65,50,42,44,37,47,49,37,27,42,25,21,22,21,28,23,22,12,-,-,10,-,11
Denize,-,10,-,-,12,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Desirée,18,13,-,14,-,14,15,11,-,11,-,12,-,-,-,11,10,10,-,-,-,-,-
Destiny,-,-,-,-,-,-,-,-,-,-,-,-,14,-,11,-,-,-,10,-,-,-,-
Diana,65,36,54,55,53,65,49,57,33,51,53,62,42,56,54,43,52,41,40,55,51,57,59
Dila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-
Dilan,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dilara,-,-,-,-,12,12,10,10,15,11,-,-,12,-,-,-,-,-,-,-,15,11,13
Dima,-,-,-,-,-,-,-,-,-,-,-,15,-,10,-,10,-,10,-,-,12,10,-
Dina,11,10,-,11,10,22,28,25,24,21,24,12,24,11,16,11,14,15,15,17,16,20,11
Disa,17,26,21,34,33,37,39,38,46,43,36,38,48,33,40,24,33,42,39,33,21,31,27
Dixie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-
Donia,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Donya,-,-,-,-,-,-,-,-,-,-,10,-,-,-,10,-,-,-,-,-,-,-,10
Doris,-,-,-,-,-,-,-,13,19,25,38,56,52,78,60,69,91,68,76,56,65,61,62
Dua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,-
Ebba,578,605,684,635,661,706,780,773,705,757,624,655,660,683,653,663,603,576,596,593,597,590,514
Eda,-,-,-,-,-,-,-,-,-,-,10,-,11,-,-,-,-,-,-,-,11,-,-
Edda,-,-,-,-,-,-,-,-,-,-,-,-,12,-,17,33,73,82,80,82,74,88,106
Eden,-,-,-,-,-,-,-,-,-,-,11,10,13,-,12,12,-,10,11,10,21,-,23
Edessa,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,12,12,10,12,11,12
Edit,-,11,-,13,18,16,21,37,35,35,40,46,42,54,36,34,46,49,26,18,24,27,23
Edith,11,20,19,14,32,43,42,44,71,117,127,165,206,194,246,243,231,281,241,256,261,247,241
Edla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,10,-
Efrata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14,-
Eija,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,11,-,-,-,-,-
Eila,-,-,-,-,-,-,-,-,-,-,12,13,15,12,17,11,15,20,19,19,18,20,22
Eira,15,-,15,13,10,15,28,14,21,22,51,47,44,53,58,54,59,55,64,70,89,77,92
Ela,-,-,-,-,-,-,-,-,-,11,22,13,14,18,16,10,22,16,19,25,-,13,25
Eldana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,12,11,18,13,17
Eleanor,-,-,-,-,-,-,-,-,-,-,-,-,13,10,11,13,17,13,10,13,16,13,13
Elena,-,-,-,-,-,13,11,21,18,19,18,22,28,25,30,34,33,47,39,49,68,47,61
Eleni,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-
Eleonor,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,11,-,-,-
Eleonora,-,13,14,11,10,-,-,21,19,10,14,16,23,28,29,23,32,38,31,41,43,42,33
Eleonore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,15,-,-,-,-
