Name,count.female
Adoncia,5
Adones,0
Adoni,0
Adonia,287
Adoniah,7
Adonias,0
Adonica,381
Adonijah,26
Adoniram,0
Adonis,71
Adoniz,0
Adonna,616
Adonnis,0
Adontae,0
Adonte,0
Adonus,0
Adony,0
Adonya,14
Adonys,0
Adora,1432
Adorabella,14
Adorah,10
Adore,71
Adoree,27
Adoria,84
Adorian,0
Adorion,0
Adorn,5
Adra,565
Adrain,569
Adraine,222
Adrainne,13
Adran,0
Adraya,11
Adre,0
Adrea,699
Adream,39
Adrean,410
Adreana,871
Adreann,7
Adreanna,1429
Adreanne,109
Adreauna,5
Adree,21
Adreena,92
Adreian,0
Adrein,0
Adreina,11
Adreinne,15
Adrell,0
Adren,0
Adrena,482
Adrene,46
Adreon,0
Adreona,106
Adreonna,171
Adrew,0
Adreyan,0
Adreyona,5
Adri,123
Adria,5661
Adriaan,0
Adriah,47
Adriahna,69
Adrial,0
Adrialis,8
Adrialys,16
Adriam,0
Adrian,14640
Adriana,79215
Adrianah,196
Adriane,6023
Adrianjames,0
Adriann,901
Adrianna,38783
Adriannah,244
Adrianne,12739
Adrianno,0
Adrianny,11
Adriano,0
Adrianpaul,0
Adriauna,222
Adriaunna,48
Adric,0
Adrick,0
Adrie,163
Adriean,0
Adrieana,121
Adrieanna,357
Adrieanne,16
Adriel,559
Adriela,5
Adriell,0
Adriella,40
Adrielle,522
Adrien,1310
Adriena,135
Adriene,2328
Adrienn,27
Adrienna,754
Adrienne,65056
Adriennie,5
Adrieonna,5
Adrihana,5
Adrihanna,22
Adrija,12
Adrijana,34
Adrik,0
Adrin,12
Adrina,1227
Adrine,64
Adrinna,28
Adrinne,66
Adrion,0
Adriona,281
Adrionna,780
Adris,0
Adrita,18
Adriunna,5
Adrius,0
Adriyan,0
Adriyana,133
Adriyanna,163
Adriyel,0
Adron,0
Adry,5
Adryan,146
Adryana,432
Adryanah,5
Adryann,5
Adryanna,549
Adryauna,5
Adryel,0
Adryen,0
Adryn,6
Adryon,0
Adryonna,5
Adulfo,0
Adut,20
Advait,0
Advaita,12
Advaith,0
Advay,0
Advik,0
Advika,192
Advit,0
Advita,10
Advith,0
Adwin,0
Adwita,33
Adwoa,152
Ady,110
Adya,160
Adyan,0
Adyanna,11
Adyant,0
Adyen,0
Adylan,6
Adylee,12
Adylen,5
Adylene,208
Adylenne,5
Adylin,37
Adyline,45
Adylinn,5
Adylyn,6
Adylynn,7
Adyn,99
Adynn,12
Adysan,7
Adysen,602
Adysin,34
Adyson,3181
Adysson,63
Adysyn,32
Aedan,43
Aeddon,0
Aeden,7
Aedin,0
Aedon,0
Aedric,0
Aedyn,47
Aeiden,0
Aeisha,264
Aeja,48
Aela,88
Aelan,6
Aeleen,15
Aeliana,6
Aelicia,6
Aelisa,5
Aelish,5
Aelita,6
Aella,28
Aelred,0
